Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53868,8649,3721,1
56096,441,225,1
58232,100,81,1
60676,441,441,1
78360,169,121,1
96028,25,81,1
111640,169,169,1
130356,225,0,1
146988,144,16,1
164676,16,36,1
181320,4,25,1
196916,144,49,1
214600,16,16,1
231236,0,49,1
246832,36,16,1
263484,1,1,1
278036,4,16,1
293636,16,4,1
309232,36,16,1
325884,256,1,1
342516,196,0,1
359152,9,16,1
374748,4,0,1
389324,4,0,1
403884,16,25,1
420516,0,4,1
435080,1,1,1
449632,4,16,1
465236,49,1,1
480832,16,16,1
497464,25,4,1
513072,64,25,1
529716,36,16,1
546352,81,1,1
561948,576,4,1
578592,169,9,1
595244,0,0,1
609796,0,0,1
624356,81,0,1
639960,169,0,1
656600,36,0,1
672192,144,16,1
689876,25,9,1
705464,81,1,1
721076,49,16,1
737720,100,4,1
754356,169,9,1
770976,64,25,1
787640,4,1,1
802204,36,25,1
818836,25,4,1
834436,9,0,1
849008,1,0,1
863576,676,1,1
880196,841,36,1
897876,9,4,1
912448,25,1,1
928036,9,9,1
942596,9,16,1
958200,25,1,1
973788,100,0,1
990440,144,1,1
1007080,121,49,1
1025788,81,25,1
1043488,9,0,1
1059076,576,1,1
1076760,361,9,1
1094436,400,16,1
1113152,2209,49,1
1132916,1225,81,1
1152676,0,0,1
1168272,361,81,1
1187004,16,64,1
1204664,324,16,1
1223384,36,0,1
1240024,289,4,1
1257720,289,0,1
1275400,16,1,1
1292040,100,9,1
1309720,400,1,1
1327400,9,0,1
1343000,1024,0,1
1361712,625,81,1
1380440,0,81,1
1397088,225,9,1
1414748,256,1,1
1432440,144,81,1
1451152,1936,81,1
1470904,3136,25,1
1490668,1764,81,1
1510432,1764,64,1
1530184,1369,81,1
1549956,1156,0,1
1568672,1296,100,1
1589472,900,81,1
1608188,196,64,1
1626920,36,121,1
1645648,361,4,1
1663324,36,16,1
1680996,121,25,1
1699716,169,100,1
1719484,36,169,1
1738196,529,9,1
1755868,196,16,1
1774576,625,324,1
1794352,121,1024,1
1815144,2704,441,1
1835940,3136,676,1
1856768,225,81,1
1875472,484,81,1
1894188,576,0,1
1911876,324,0,1
1929568,36,0,1
1946196,1156,1,1
1964916,2116,144,1
1985728,484,324,1
2005476,400,144,1
2025236,324,9,1
2042920,16,9,1
2059572,144,16,1
2078256,289,289,1
2098012,2025,400,1
2118832,841,100,1
2138584,144,4,1
2156260,1521,25,1
2176036,3249,256,1
2196848,121,25,1
2215560,256,9,1
2233232,4,64,1
2249876,1024,144,1
2270672,784,100,1
2290440,36,121,1
2309164,256,16,1
2327888,196,4,1
2345560,225,4,1
2363236,1369,49,1
2383004,729,36,1
2401712,9,1,1
2417316,289,1,1
2434992,729,4,1
2452672,121,49,1
2471396,64,121,1
2490108,121,25,1
2508848,9,9,1
2524436,324,1,1
2542116,1089,25,1
2561876,49,9,1
2578532,121,225,1
2598288,36,25,1
2615960,25,36,1
2633620,64,25,1
2651320,441,36,1
2670044,361,1,1
2687720,0,64,1
2704348,36,121,1
2723076,0,0,1
2738672,625,9,1
2756356,1024,16,1
2776132,196,0,1
2793796,121,36,1
2812512,16,9,1
2829148,484,121,1
2848932,1,64,1
2865568,484,100,1
2885312,441,144,1
2905064,169,25,1
2923804,25,100,1
2942516,9,144,1
2960196,0,0,1
2975800,169,9,1
2993480,81,1,1
3010108,121,25,1
3028840,1,1,1
3044448,25,0,1
3061080,100,49,1
3079776,729,225,1
3099548,144,64,1
3118284,9,0,1
3133884,9,49,1
3150500,16,121,1
3169228,4,9,1
3184844,49,169,1
3203552,4,144,1
3221232,36,81,1
3238908,324,0,1
3256600,100,100,1
3276352,36,49,1
3294032,36,4,1
3310684,1,16,1
3327320,81,576,1
3346032,16,961,1
3364752,1444,169,1
3385568,961,9,1
3403232,0,1,1
3418828,49,9,1
3435472,16,144,1
3454192,0,100,1
3471868,529,1,1
3489544,1369,0,1
3508268,1225,16,1
3528044,625,16,1
3546760,1,49,1
3563388,361,0,1
3581084,841,9,1
3598752,900,100,1
3618516,576,121,1
3638264,625,16,1
3657000,144,4,1
3674672,25,144,1
3693392,81,16,1
3711084,0,1,1
3726676,4,25,1
3743308,0,49,1
3759952,144,49,1
3778672,256,64,1
3797396,361,16,1
3816108,1156,9,1
3834836,100,100,1
3854592,225,1,1
3872272,64,25,1
3889964,49,4,1
3906592,576,49,1
3925312,361,81,1
3944024,16,49,1
3961708,25,9,1
3978368,100,1,1
3996044,4,0,1
4011640,289,9,1
4029316,196,49,1
4048056,1,1,1
4063636,324,16,1
4082360,441,1,1
4100028,25,0,1
4116680,9,9,1
4132268,100,1,1
4149948,4,0,1
4165540,64,16,1
4183236,169,25,1
4201956,16,9,1
4218596,121,0,1
4236268,196,49,1
4254996,100,49,1
4273712,0,4,1
4289320,9,16,1
4305960,144,9,1
4323644,64,4,1
4340280,289,9,1
4357952,16,1,1
4374596,49,16,1
4392284,9,4,1
4407876,4,0,1
4423468,1,64,1
4440112,36,9,1
4456752,144,0,1
4474432,16,16,1
4492128,4,1,1
4507728,9,4,1
4523320,16,16,1
4540988,0,0,1
4556596,1,16,1
4573244,1,1,1
4588836,0,0,1
4604440,16,4,1
4621076,36,0,1
4637720,36,1,1
4654364,36,1,1
4671004,0,0,1
4686596,81,0,1
4703220,49,49,1
4720916,64,36,1
4738608,25,25,1
4756272,225,25,1
4775000,289,4,1
4792684,484,81,1
4811392,1089,81,1
4831136,196,49,1
4849872,81,0,1
4866508,484,9,1
4884192,324,81,1
4902900,36,0,1
4919556,1,9,1
4935156,25,9,1
4951796,100,4,1
4969484,81,0,1
4986116,900,16,1
5004840,1936,169,1
5025632,784,100,1
5045404,169,25,1
5064124,25,36,1
5081796,0,0,1
5097388,49,25,1
5115084,196,25,1
5133796,256,36,1
5152516,100,25,1
5171240,0,0,1
5186844,196,25,1
5205552,225,16,1
5224272,16,4,1
5240920,169,0,1
5258596,121,0,1
5276268,441,1,1
5293952,676,64,1
5312680,9,36,1
5329316,1681,16,1
5349068,400,49,1
5367780,81,0,1
5384436,25,9,1
5401080,1,1,1
5416676,64,0,1
5433312,169,4,1
5451012,9,0,1
5466608,16,1,1
5483232,16,4,1
5499876,9,0,1
5515480,16,9,1
5532120,49,4,1
5548756,121,1,1
5566424,121,0,1
5584116,4,4,1
5599708,121,16,1
5618432,81,16,1
5636120,0,0,1
5651716,169,1,1
5669396,100,0,1
5687076,9,1,1
5702680,1,0,1
5718272,16,0,1
5734916,9,4,1
5750512,169,0,1
5768204,100,0,1
5785880,1,4,1
5801480,1,1,1
5817072,9,9,1
5832668,64,16,1
5850360,225,9,1
5868036,0,4,1
5883624,64,49,1
5901308,169,9,1
5919004,4,4,1
5934600,64,4,1
5951236,36,25,1
5968920,0,16,1
5985568,121,1,1
6003244,169,9,1
6020912,25,16,1
6038596,36,16,1
6056276,81,9,1
6072912,25,9,1
6089556,256,0,1
6107244,100,4,1
6124912,100,0,1
6142588,100,25,1
6161312,144,9,1
6179004,81,0,1
6195636,9,0,1
6211236,0,16,1
6227868,25,1,1
6244520,4,0,1
6260112,25,16,1
6277788,36,1,1
6294428,9,9,1
6310052,0,1,1
6325644,64,1,1
6342272,0,0,1
6357876,121,4,1
6375564,36,9,1
6392204,16,1,1
6408836,121,1,1
6426528,1,0,1
6442116,64,9,1
6458760,9,1,1
6474360,1,0,1
6489960,1,16,1
6506608,1,4,1
6522196,16,0,1
6538840,0,4,1
6554436,1,1,1
6570048,1,4,1
6585644,0,1,1
6601240,1,4,1
6616828,0,0,1
6632436,1,4,1
6648048,49,4,1
6664680,1,4,1
6680272,81,0,1
6696900,0,0,1
6712520,4,0,1
6728108,324,25,1
6746824,361,25,1
6765556,25,4,1
6782200,100,9,1
6799876,144,9,1
6817560,36,1,1
6834208,400,9,1
6851888,100,81,1
6870592,169,0,1
6888264,529,196,1
6908040,16,81,1
6925724,100,0,1
6943404,1,0,1
6958992,9,9,1
6974608,1,1,1
6990204,16,9,1
7006840,9,0,1
7022440,49,1,1
7039076,0,0,1
7054688,225,9,1
7072356,400,64,1
7091076,1,1,1
7106676,64,4,1
7123316,9,4,1
7138920,49,1,1
7155564,1,9,1
7171156,0,1,1
7186764,64,0,1
7203400,49,1,1
7220040,100,1,1
7237720,256,16,1
7256448,1,4,1
7272036,25,4,1
7288672,0,0,1
7304284,1,1,1
7319880,100,9,1
7337560,144,4,1
7355236,36,4,1
7371892,25,9,1
7388528,169,9,1
