Timestamp (micros),Sensor1 (mV),Sensor2 (mV),Label
53856,10404,2500,6
56124,729,400,6
58268,121,9,6
60668,576,676,6
78340,25,100,6
94976,9,4,6
108496,144,64,6
126188,1600,100,6
145952,900,25,6
163608,1444,81,6
182340,841,289,6
201056,16,81,6
217704,324,49,6
235388,49,100,6
253060,64,25,6
269708,49,4,6
285292,196,289,6
304016,196,121,6
322748,49,1,6
338332,225,100,6
357052,0,64,6
372652,225,100,6
391384,4,361,6
408028,196,1,6
424652,529,256,6
443380,100,81,6
461064,1,36,6
476652,16,49,6
493300,100,324,6
512020,9,64,6
527620,144,121,6
546348,49,81,6
562976,144,4,6
579624,100,4,6
596260,81,9,6
611868,576,64,6
629532,625,256,6
648264,529,1,6
664904,484,64,6
682576,961,1,6
699212,900,0,6
715868,49,9,6
731472,529,9,6
748100,9,196,6
764716,64,324,6
782412,2116,400,6
802172,4225,361,6
821916,1089,64,6
840656,576,9,6
857300,784,400,6
876020,81,196,6
893696,441,4,6
910324,441,1,6
926988,64,196,6
944656,576,361,6
963376,625,64,6
981064,16,121,6
998740,81,1,6
1014332,1444,4,6
1033044,1849,225,6
1053864,121,9,6
1071524,1764,225,6
1092320,324,64,6
1111060,4489,9,6
1129772,10000,256,6
1151616,2209,484,6
1172392,625,144,6
1192176,1296,121,6
1212960,784,49,6
1231680,196,0,6
1249372,100,0,6
1267060,256,100,6
1286824,225,16,6
1305540,16,0,6
1322180,256,100,6
1341940,36,16,6
1359620,225,9,6
1377304,16,36,6
1394984,784,64,6
1413696,841,361,6
1433456,64,9,6
1450108,4,25,6
1466748,16,144,6
1485460,1,36,6
1502088,324,36,6
1520816,196,0,6
1538488,841,4,6
1556172,1296,0,6
1574900,64,16,6
1592584,36,64,6
1610256,2304,169,6
1631060,3600,196,6
1651868,900,49,6
1670580,4,0,6
1686184,784,81,6
1704900,2116,16,6
1724656,9801,484,6
1745452,1369,400,6
1766260,784,4,6
1783944,1089,225,6
1804732,121,169,6
1824496,49,16,6
1842168,1444,9,6
1860900,144,49,6
1879604,4225,36,6
1899384,7569,361,6
1920176,2116,256,6
1940976,225,36,6
1959692,625,1,6
1977380,1089,121,6
1998176,49,25,6
2015852,1024,4,6
2034580,2025,36,6
2054336,361,49,6
2073052,196,1,6
2090736,4,36,6
2107372,4,64,6
2124016,4,100,6
2141692,484,169,6
2161460,0,25,6
2178100,64,16,6
2195768,441,81,6
2214492,1369,1,6
2233220,25,16,6
2250912,9,49,6
2267552,169,4,6
2285224,441,4,6
2302900,1,36,6
2319532,121,100,6
2339292,576,49,6
2358012,64,16,6
2375704,1764,49,6
2395472,121,64,6
2414180,196,0,6
2431860,0,16,6
2448504,144,81,6
2467208,6400,361,6
2488008,11881,784,6
2509860,1849,121,6
2530660,196,0,6
2548328,484,64,6
2567060,36,1,6
2583704,289,400,6
2603468,625,36,6
2622180,784,25,6
2640888,1681,441,6
2661704,784,81,6
2680416,529,9,6
2698104,900,81,6
2716816,196,49,6
2735532,4,0,6
2751136,81,256,6
2769856,625,784,6
2789636,961,64,6
2808360,100,9,6
2826020,4,49,6
2842676,196,144,6
2862420,289,49,6
2881136,4624,25,6
2900880,4489,100,6
2921700,3481,169,6
2942500,784,81,6
2961224,121,1,6
2978900,1764,4,6
2997616,2704,144,6
3018412,1521,121,6
3039212,784,1,6
3056908,196,0,6
3074592,16,4,6
3091208,81,196,6
3109940,4,81,6
3126588,289,25,6
3145300,441,9,6
3162976,9,49,6
3179632,100,36,6
3198340,64,324,6
3217064,25,36,6
3234728,81,9,6
3251372,729,81,6
3270104,16,64,6
3287776,196,144,6
3307536,169,81,6
3326252,361,16,6
3344976,36,36,6
3362660,144,4,6
3380340,324,64,6
3399072,16,25,6
3416728,256,81,6
3435452,576,100,6
3455220,0,36,6
3471856,625,9,6
3489540,49,1,6
3506172,144,225,6
3525940,9,9,6
3541548,196,16,6
3560264,169,121,6
3580024,25,64,6
3597716,121,0,6
3615376,0,9,6
3630968,81,25,6
3648676,1,0,6
3664276,36,36,6
3681948,49,16,6
3699616,4,25,6
3716268,1,169,6
3733944,4,25,6
3750576,441,1,6
3768232,900,196,6
3788016,289,256,6
3807792,121,16,6
3826496,225,196,6
3846264,25,64,6
3863952,9,4,6
3879548,4,121,6
3897212,25,49,6
3914900,196,81,6
3933612,169,121,6
3953384,4,25,6
3970008,169,36,6
3988744,529,1,6
4006440,49,36,6
4024096,169,0,6
4041784,400,9,6
4059472,9,1,6
4075056,324,49,6
4093772,169,49,6
4112504,225,36,6
4131220,324,49,6
4149940,121,64,6
4168648,324,0,6
4186352,729,25,6
4205056,361,256,6
4224828,0,16,6
4241464,169,64,6
4260184,225,64,6
4278904,1,9,6
4294500,36,81,6
4312184,1,25,6
4328832,0,49,6
4345460,0,0,6
4361060,1,9,6
4376668,100,225,6
4396432,1,196,6
4414100,225,16,6
4432816,36,81,6
4450500,169,64,6
4469212,256,0,6
4486892,81,16,6
4504580,49,100,6
4523304,36,0,6
4539940,256,0,6
4557620,4,25,6
4574260,25,64,6
4591948,144,9,6
4609628,900,121,6
4629388,100,64,6
4648104,169,49,6
4666816,100,0,6
4684500,0,36,6
4701132,9,49,6
4717776,81,16,6
4735456,16,81,6
4753136,36,196,6
4771868,225,4,6
4789544,9,9,6
4805148,1,144,6
4822820,100,225,6
4842576,121,64,6
4861304,16,16,6
4878972,16,0,6
4895624,100,196,6
4915388,49,225,6
4934104,0,0,6
4949700,4,36,6
4966332,4,1,6
4981944,0,49,6
4998580,16,1,6
5015220,0,100,6
5032888,0,196,6
5050584,49,49,6
5068260,9,36,6
5084888,4,49,6
5101532,4,225,6
5119228,36,49,6
5136896,16,49,6
5154580,9,9,6
5170172,1,225,6
5187864,36,25,6
5205548,16,81,6
5223216,1,25,6
5239864,9,25,6
5256508,16,25,6
5274176,49,1,6
5290808,400,121,6
5310584,25,9,6
5327228,64,1,6
5343856,225,225,6
5363612,144,100,6
5383380,0,9,6
5398976,16,36,6
5416664,81,9,6
5433292,1,64,6
5449940,225,289,6
5469692,361,49,6
5488412,484,49,6
5507152,144,36,6
5525872,4,9,6
5541452,0,4,6
5557060,81,9,6
5573712,225,196,6
5593468,4,121,6
5611144,49,25,6
5628828,64,9,6
5645464,64,16,6
5663132,16,100,6
5681856,441,361,6
5701612,169,36,6
5720344,64,64,6
5738028,144,16,6
5756740,1,0,6
5772344,169,64,6
5791064,121,49,6
5809776,16,121,6
5828504,1,121,6
5846184,49,9,6
5862812,361,121,6
5882572,121,121,6
5902332,4,1,6
5917940,1,25,6
5934580,4,9,6
5950184,25,1,6
5966824,16,4,6
5983468,81,100,6
6002180,0,49,6
6018828,36,36,6
6036496,0,25,6
6053152,0,16,6
6069784,0,0,6
6085384,0,9,6
6100960,36,169,6
6119708,49,256,6
6138420,0,1,6
6154020,0,1,6
6169620,0,64,6
6186268,4,81,6
6202900,16,16,6
6220584,4,4,6
6236184,49,144,6
6254908,9,4,6
6270508,25,81,6
6288188,16,225,6
6306912,9,25,6
6323548,1,1,6
6339140,4,49,6
6355780,1,100,6
6373460,25,1,6
6390100,0,81,6
6406736,9,196,6
6424412,25,16,6
6442100,49,4,6
6458744,16,1,6
6475376,0,25,6
6492020,25,16,6
6509704,0,1,6
6525304,9,49,6
6541944,9,1,6
6557532,1,4,6
6573152,4,1,6
6588744,121,81,6
6607460,36,100,6
6626176,16,9,6
6642824,16,0,6
6659460,16,144,6
6678176,25,169,6
6696892,4,4,6
6712504,64,4,6
6729144,36,100,6
6747868,0,81,6
6764492,1,9,6
6780104,9,36,6
6796736,9,196,6
6814420,16,64,6
6832092,25,0,6
6848744,16,169,6
6867452,64,169,6
6886188,4,1,6
6901796,9,9,6
6917380,16,81,6
6935068,9,81,6
6951700,4,1,6
6967308,0,100,6
6984992,9,196,6
7002676,1,36,6
7019288,49,144,6
7038020,25,64,6
7055712,1,36,6
7072352,4,49,6
7088992,1,196,6
7106672,9,121,6
7124340,4,9,6
7139944,4,4,6
7155540,9,1,6
7171148,9,9,6
7186752,4,36,6
7203380,1,100,6
7221064,49,4,6
7237700,16,100,6
7256428,16,100,6
7275140,4,4,6
7290736,9,36,6
7307388,25,289,6
7326112,9,256,6
7343776,36,1,6
7360416,81,16,6
7378108,16,121,6
7396816,1,64,6
7413472,0,49,6
7430092,1,25,6
7446740,144,144,6
7466496,324,169,6
7486260,100,0,6
7503940,4,16,6
7520584,81,1,6
7537220,4,100,6
7554900,4,324,6
7572588,25,16,6
7590272,4,0,6
7605856,256,36,6
7624580,100,81,6
7643308,49,4,6
7659944,25,0,6
7676580,4,144,6
7694252,4,169,6
7711948,64,16,6
7729620,16,0,6
7746268,4,144,6
7763940,0,225,6
7781624,25,4,6
7798252,9,4,6
7813852,0,4,6
7829448,4,0,6
7845072,25,144,6
7863784,1,225,6
7881468,36,1,6
7898096,4,1,6
7913704,9,0,6
7929300,16,0,6
7945944,9,144,6
7963624,9,169,6
