Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
51600,14884,9025
53860,15376,2916
56132,9,324
58188,784,324
60668,576,225
78336,576,49
94980,100,100
112644,81,256
130344,256,1
146992,841,144
165704,225,16
183364,2025,121
203136,4096,25
221848,196,81
239532,144,25
257224,676,4
273848,841,121
292576,25,64
309208,256,0
325868,36,1
341456,625,4
358092,1369,16
376804,2304,49
395536,2304,64
414248,400,49
431932,49,0
447548,0,9
462100,169,36
479788,1764,36
498488,81,196
516180,1936,0
533852,2209,196
553612,81,25
570248,324,1
586920,49,4
602508,4,1
617044,1444,81
635780,400,64
653472,625,36
671128,900,49
688808,121,0
705448,289,4
722104,1521,0
739776,1369,100
759536,900,25
777224,81,4
792820,144,81
810484,784,16
828172,2304,25
846900,1024,25
865612,529,4
882260,2500,49
900980,3025,121
920736,841,16
938420,64,36
955064,81,49
971684,400,0
988344,0,0
1002900,529,0
1020584,169,25
1039296,36,1
1055940,81,0
1072580,324,9
1090264,1024,25
1110008,225,25
1128744,1,1
1144348,9,0
1159944,4,4
1175544,1,1
1191144,256,4
1208824,729,16
1227540,324,4
1245216,1,0
1260828,144,4
1278512,225,4
1296184,36,16
1313864,225,4
1331548,441,9
1349220,0,0
1364820,25,9
1381468,25,0
1398100,841,16
1416820,2025,49
1436576,1521,144
1457388,625,49
1476104,25,1
1492740,361,16
1511460,100,9
1529136,1225,25
1548908,961,36
1567616,121,4
1585304,121,4
1602980,676,16
1621696,81,36
1639376,169,0
1657060,0,1
1672660,100,9
1690336,225,1
1708008,729,4
1725700,529,81
1744424,441,36
1763140,81,4
1779792,4,1
1795388,1,1
1810988,0,0
1826584,4,1
1842184,49,1
1858824,81,4
1875460,4,1
1891060,1,4
1906656,49,1
1923284,16,0
1939920,49,0
1956560,361,0
1974248,1,9
1989864,1369,16
2009620,529,121
2029376,256,0
2047068,484,4
2064736,144,36
2083436,1849,16
2103204,3721,196
2124020,49,196
2142740,841,16
2161456,1936,16
2181224,484,0
2198900,256,4
2216584,169,0
2234264,1,0
2249872,1,1
2265460,4,1
2281052,0,4
2296664,0,16
2313312,1,1
2328896,0,0
2344500,1,1
2360088,25,0
2376744,1,1
2392336,169,16
2411056,784,49
2429776,1369,81
2449540,121,9
2467228,225,49
2485932,64,36
2503604,1,0
2519220,16,4
2535864,4,1
2551460,400,16
2570168,529,25
2588900,144,1
2606568,1296,121
2627380,225,49
2646112,25,4
2662748,4,0
2678344,16,4
2694976,225,0
2712652,900,16
2731380,225,100
2751128,1225,16
2770884,3969,324
2791704,1024,144
2812496,0,4
2828092,1,1
2843708,1,25
2860344,64,25
2878012,81,1
2894640,1849,25
2914420,6084,100
2935212,1225,289
2956016,0,36
2972652,4,4
2988260,4,25
3004900,169,1
3022572,1521,4
3041300,1849,100
3062096,169,16
3080820,1,0
3096420,9,9
3112044,576,1
3129704,441,121
3149460,36,16
3167132,49,0
3183772,289,36
3202500,64,9
3219136,400,9
3236820,961,64
3255540,2500,81
3275300,676,121
3295060,25,9
3311712,36,0
3328340,100,4
3346020,9,25
3362656,144,0
3380344,49,16
3398016,169,16
3416744,81,4
3433376,4,0
3448976,25,49
3466660,81,0
3483308,9,36
3499940,9,4
3515548,196,64
3534252,324,0
3551924,529,144
3571696,576,1
3589380,256,81
3608100,4,0
3623700,9,16
3640352,64,64
3658032,4,4
3673612,1156,1
3692328,4096,36
3712116,900,169
3731864,289,64
3750580,3721,25
3770316,0,1225
3789052,24336,2500
3811928,0,121
3829608,4624,144
3850416,2304,25
3870180,1,49
3886812,324,36
3905524,5329,49
3925304,5625,289
3946100,1681,196
3966892,225,9
3984580,361,9
4002256,1521,64
4022016,225,100
4041780,324,0
4059444,841,64
4078184,144,36
4096904,225,0
4114592,529,1
4132268,64,1
4148892,324,16
4167600,1225,169
4188412,1600,121
4209204,36,0
4225844,5776,169
4246660,2500,324
4267460,36,4
4284092,1024,9
4302804,8649,484
4323620,2916,324
4344416,400,4
4362092,1225,9
4380828,1,1
4396408,64,4
4413048,3844,49
4432792,121,16
4451524,3136,81
4471292,144,9
4488980,400,81
4507704,100,100
4527452,1600,144
4548256,900,9
4565928,4,64
4582576,484,25
4601292,0,0
4616900,900,25
4635608,576,16
4654340,256,25
4673068,16,64
4690740,81,9
4707392,81,16
4725052,225,9
4742724,3025,25
