Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
0793864, 0, 0
104081257528, 0, 0
1040700248, 4, 0
1040718980, 9, 0
1040737700, 0, 1
1040756420, 1, 0
1040775124, 0, 0
1040793864, 0, 0
10408125751604, 7225, 9409
53816, 4900, 4356
56048, 1296, 81
58184, 225, 49
60280, 2601, 196
78336, 1, 324
93932, 25, 1
108492, 324, 361
127212, 6400, 64
145936, 7569, 256
165692, 4356, 361
185456, 4356, 64
204180, 1681, 1
221860, 81, 25
238492, 0, 4
253068, 225, 25
270740, 81, 4
286344, 1156, 25
305052, 1369, 25
323776, 1764, 196
343540, 361, 576
362268, 81, 81
378900, 1521, 49
397624, 1296, 100
417380, 25, 25
434024, 16, 4
449620, 9, 4
464180, 49, 49
480816, 1024, 1
498492, 15625, 625
519284, 23409, 1089
541132, 625, 144
559844, 3364, 64
578584, 1296, 1
596252, 1521, 9
613924, 5184, 196
633684, 256, 400
652428, 225, 4
669052, 144, 36
686744, 9, 1
701300, 36, 4
716896, 729, 0
733528, 4356, 49
752248, 2116, 169
772024, 16, 0
787628, 81, 4
803224, 4, 16
818804, 1764, 4
836500, 1521, 81
855228, 144, 64
872892, 3721, 49
891608, 8836, 289
911384, 5625, 361
931140, 9, 64
946720, 961, 25
964412, 1600, 16
983136, 729, 289
1001852, 324, 1
1019536, 529, 9
1037200, 4225, 324
1058000, 1156, 144
1078804, 6724, 100
1099608, 12769, 361
1121448, 324, 64
1140168, 17424, 289
1162012, 5476, 625
1182812, 4356, 4
1201528, 19881, 676
1223372, 6724, 841
1244184, 196, 81
1262896, 0, 0
1278504, 4489, 169
1299284, 1849, 361
1320096, 1849, 9
1338800, 8649, 169
1359616, 5625, 256
1380420, 121, 289
1400164, 324, 81
1418904, 3364, 121
1439688, 900, 169
1459468, 36, 9
1476104, 144, 25
1494816, 784, 81
1513544, 2116, 64
1533296, 841, 49
1552024, 36, 9
1568664, 441, 16
1587384, 64, 36
1605044, 144, 25
1623768, 9, 36
1640408, 5329, 64
1660188, 1156, 484
1680968, 2401, 4
1699688, 5041, 256
1720500, 1681, 49
1740240, 1849, 4
1758964, 8464, 121
1779772, 8281, 576
1800580, 5776, 361
1821372, 3600, 196
1842172, 3136, 225
1862996, 441, 144
1882732, 289, 4
1900408, 3025, 64
1920172, 484, 36
1938884, 10816, 49
1959688, 15129, 625
1981548, 841, 169
2001296, 841, 4
2018976, 100, 9
2036652, 1156, 36
2056420, 3136, 9
2075132, 441, 1
2092812, 7569, 144
2113608, 3600, 361
2134424, 1936, 36
2154180, 16, 16
2171856, 225, 1
2189532, 3025, 9
2208252, 3969, 324
2229048, 256, 4
2246732, 22801, 676
2268568, 30276, 1600
2291440, 1444, 625
2312256, 1600, 9
2330976, 121, 9
2348644, 4900, 100
2369452, 81, 49
2387148, 3249, 49
2406880, 3844, 121
2427692, 2500, 196
2448488, 3844, 49
2468248, 16641, 576
2490088, 576, 289
2509868, 2809, 324
2530660, 2025, 4
2549364, 15876, 1296
2572240, 10404, 400
2594088, 2601, 81
2613844, 16, 400
2632568, 1296, 36
2652328, 14161, 961
2674180, 6084, 484
2694968, 3600, 9
2713708, 7569, 81
2733456, 1849, 81
2753212, 64, 256
2771928, 289, 16
2790656, 169, 9
2808348, 784, 1
2826020, 9, 0
2841628, 529, 9
2859292, 2116, 9
2878012, 5184, 64
2897772, 289, 36
2916496, 1521, 25
2936248, 7396, 121
2957048, 5476, 256
2977856, 1156, 100
2998648, 3136, 16
3018408, 3600, 196
3039216, 841, 169
3058988, 169, 1
3076656, 196, 4
3094324, 12996, 144
3116160, 17161, 1369
3139056, 36, 361
3157768, 2500, 121
3178580, 2916, 0
3197296, 16, 4
3213928, 2500, 9
3232656, 576, 196
3252404, 49, 64
3270084, 1225, 64
3289856, 289, 49
3308584, 1, 4
3324184, 169, 9
3341868, 1296, 196
3362660, 1156, 49
3382424, 324, 4
3400088, 841, 49
3418820, 49, 25
3436488, 1521, 49
3456256, 324, 36
3474976, 2500, 81
3494732, 3600, 169
3515536, 676, 16
3534252, 1521, 25
3554008, 576, 100
3573772, 121, 4
3591452, 4096, 1
3610176, 1936, 324
3630992, 1, 4
3646576, 1, 64
3663220, 81, 36
3680892, 81, 25
3698580, 256, 100
3718352, 256, 9
3736024, 9, 4
3751608, 4489, 0
3770316, 10000, 441
3792192, 1681, 529
3812976, 144, 25
3831700, 256, 4
3849368, 1225, 144
3870168, 3249, 36
3889940, 400, 64
3908668, 81, 36
3926348, 36, 9
3942976, 36, 4
3959620, 81, 25
3977288, 1936, 49
3997052, 6724, 169
4017852, 3249, 324
4038664, 16, 4
4055304, 1225, 81
4075048, 1681, 49
4094820, 784, 25
4113548, 16, 9
4130180, 1681, 4
4148892, 5476, 64
4168636, 3481, 64
4188416, 1369, 25
4208180, 49, 25
4225852, 1764, 9
4244576, 256, 144
4264344, 2025, 16
4284100, 729, 196
4303852, 100, 36
4322572, 784, 64
4341292, 729, 0
4358980, 36, 49
4376672, 121, 16
4395384, 16, 1
4412016, 16, 16
4429696, 961, 9
4447384, 2304, 121
4468168, 900, 81
4486892, 256, 25
4505616, 2601, 36
4525380, 49, 144
4544084, 900, 25
4562808, 324, 81
4581552, 0, 9
4597148, 64, 9
4613772, 1600, 121
4634564, 441, 49
4653304, 400, 9
4670984, 676, 4
4688668, 81, 0
4705304, 729, 1
4722972, 1600, 64
4742728, 361, 121
4762488, 2025, 9
4781212, 11236, 289
4803044, 361, 400
4822808, 8100, 196
4843628, 2209, 361
4864432, 196, 100
4884176, 81, 1
4900804, 1936, 1
4919540, 961, 400
4939300, 64, 16
4956980, 3969, 361
4977780, 1444, 81
4997536, 1, 0
5013136, 196, 81
5031832, 2601, 100
5052652, 12544, 64
5073468, 9025, 900
5094264, 2304, 529
5115064, 361, 0
5132724, 1936, 1
5151448, 16, 1
5168084, 5329, 36
5187848, 2809, 225
5208660, 3364, 36
5228408, 64, 81
5246100, 2809, 9
5264816, 121, 81
5283532, 144, 100
5303272, 2209, 64
5323064, 3249, 100
5343860, 49, 121
5362576, 64, 16
5380260, 9, 4
5395864, 100, 9
5413532, 676, 16
5432256, 144, 49
5450992, 400, 9
5468656, 100, 36
5487372, 169, 25
5506100, 841, 25
5524824, 1024, 4
5543540, 100, 49
5562264, 144, 1
5579940, 25, 16
5597600, 81, 9
5614252, 441, 0
5631932, 196, 36
5650660, 25, 9
5667296, 100, 1
5684972, 36, 9
5701604, 256, 1
5719304, 100, 4
5736988, 81, 0
5753628, 25, 9
5770264, 49, 25
5787940, 169, 81
5806660, 121, 16
5825392, 841, 25
5844088, 121, 81
5862824, 1089, 1
5881536, 144, 49
5900256, 64, 16
5917952, 9, 1
5933544, 529, 81
5952252, 49, 0
5968900, 625, 9
5986584, 441, 121
6006344, 225, 1
6024024, 0, 9
6039640, 289, 0
6057312, 9, 16
6073940, 36, 4
6090572, 25, 16
6108268, 16, 25
6125952, 900, 1
6143624, 529, 9
6161300, 4, 9
6176908, 144, 0
6194584, 225, 16
6213292, 144, 1
6230968, 484, 4
6248676, 64, 16
6266340, 400, 4
6284016, 256, 16
6302740, 121, 4
6320420, 625, 25
6339140, 529, 49
6357852, 289, 25
6376592, 4, 4
6392176, 576, 9
6409860, 529, 36
6428576, 9, 1
6444188, 64, 4
6460804, 8464, 121
6481600, 20736, 1024
6504488, 6561, 676
6525296, 1849, 100
6546092, 1, 169
6563764, 1089, 16
6583544, 1, 49
6600184, 361, 16
6618908, 784, 16
6637604, 5476, 49
6657372, 11025, 729
6679208, 5625, 625
6700016, 729, 1
6717692, 2704, 49
6737448, 15876, 441
6759284, 11881, 1156
6782180, 3600, 361
6802988, 900, 25
6821704, 576, 121
6841468, 64, 144
6860176, 1849, 16
6879940, 3969, 196
6900740, 961, 16
6919468, 225, 4
6937132, 676, 81
6955860, 1296, 36
6975612, 2209, 36
6995368, 7225, 324
7016156, 225, 225
7035936, 4356, 121
7056740, 1, 121
7074424, 289, 100
7094172, 169, 9
7111856, 625, 4
7129528, 0, 400
7147220, 169, 25
7165932, 676, 144
7185712, 144, 9
7203360, 3600, 81
7223116, 5776, 169
7243928, 1089, 169
7264724, 1764, 121
7285532, 36, 9
7302184, 2209, 196
7322988, 121, 25
7341692, 256, 64
7360404, 2704, 121
7381216, 2304, 441
7402016, 400, 0
7419704, 625, 9
7437392, 1, 121
7455072, 289, 0
7472736, 64, 25
7490404, 1764, 9
7509124, 16, 25
7526808, 7569, 36
7546580, 2704, 625
7567388, 9, 16
7584008, 529, 1
7601696, 3721, 225
