Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
397034920, 1, 9
397052580, 0, 4
397070252, 1, 4
397087948, 16, 1
397106664, 1, 1
397124332, 25," 491", 0
397016188, 9, 25
397034920, 1, 9
397052580, 0, 4
397070252, 1, 4
397087948, 16, 1
397106664, 1, 1
397124332, 25," 4951604", 10816, 5776
53856, 7921, 1156
56096, 4, 400
58152, 64, 25
60220, 0, 441
73140, 225, 676
90816, 81, 841
107452, 9, 36
123060, 289, 25
140748, 36, 4
156340, 25, 16
172980, 1, 16
188576, 64, 36
205232, 0, 9
219792, 100, 9
236412, 576, 16
254100, 961, 1
270728, 256, 16
288416, 49, 36
305064, 324, 169
323788, 121, 25
341472, 25, 16
358096, 1, 49
373692, 4, 64
389308, 9, 25
404916, 4, 144
421540, 0, 400
438172, 4, 64
453780, 16, 0
469384, 4, 4
483940, 100, 16
501624, 64, 4
517224, 0, 25
532820, 25, 1
548412, 49, 49
565052, 49, 9
580660, 64, 1
596268, 0, 0
610828, 4, 9
625380, 9, 36
640984, 0, 1
655548, 0, 0
670112, 49, 16
686732, 100, 49
704412, 0, 16
720024, 64, 9
735620, 225, 49
753292, 169, 16
770968, 49, 0
786580, 9, 0
801148, 81, 1
816740, 529, 9
833368, 289, 25
851060, 0, 9
865624, 0, 4
880172, 36, 9
895780, 4, 9
910344, 4, 1
924904, 9, 4
939456, 4, 0
954016, 25, 36
970652, 25, 4
986264, 16, 0
1001868, 0, 49
1018500, 4, 81
1035136, 4, 4
1050748, 4, 9
1066344, 4, 0
1081940, 1, 0
1097536, 25, 0
1114180, 4, 0
1129780, 1, 9
1145388, 49, 36
1163060, 169, 4
1180744, 100, 25
1199468, 16, 0
1216096, 9, 4
1231704, 0, 9
1247308, 1, 16
1263940, 9, 4
1279536, 36, 0
1296180, 4, 1
1311776, 0, 9
1327380, 4, 1
1342984, 16, 0
1359624, 9, 4
1375212, 0, 25
1391856, 4, 16
1408500, 9, 1
1424100, 25, 4
1440728, 49, 16
1458428, 9, 9
1474024, 4, 1
1489620, 1, 9
1505216, 4, 1
1520828, 16, 0
1537452, 4, 0
1553064, 100, 49
1571764, 529, 121
1591540, 169, 1
1609224, 4, 9
1624816, 36, 1
1641452, 25, 9
1658108, 36, 4
1674732, 4, 4
1690340, 16, 9
1706972, 25, 0
1723616, 4, 0
1739208, 0, 0
1754816, 4, 16
1771444, 4, 36
1788108, 1, 0
1803696, 9, 0
1819304, 9, 25
1835932, 0, 49
1852576, 1, 0
1868188, 0, 4
1883780, 0, 9
1899376, 1, 25
1916020, 0, 9
1931616, 16, 0
1948264, 81, 1
1964900, 36, 4
1981544, 0, 4
1997140, 1, 1
2012744, 0, 1
2028340, 25, 1
2044988, 36, 1
2061628, 9, 0
2077228, 1, 0
2092820, 16, 4
2109456, 16, 1
2126100, 0, 1
2141700, 1, 1
2157296, 0, 1
2172888, 1, 0
2188492, 1, 9
2204104, 1, 4
2219700, 0, 0
2235296, 1, 1
2250900, 0, 4
2266500, 16, 1
2283136, 25, 0
2299768, 4, 0
2315380, 9, 4
2330988, 25, 4
2347608, 36, 4
2364252, 1, 4
2379868, 1, 1
2395468, 1, 1
2411056, 4, 0
2426656, 0, 0
2442256, 0, 0
2457868, 1, 1
2473460, 16, 0
2490092, 25, 1
2506728, 4, 0
2522340, 9, 1
2537940, 16, 4
2554576, 1, 0
2570176, 0, 0
2585788, 4, 0
2601388, 1, 4
2616980, 0, 4
2632572, 0, 9
2648180, 16, 16
2665872, 1, 4
2681460, 0, 4
2697056, 9, 16
2713704, 4, 0
2729300, 16, 4
2745936, 9, 16
2762580, 1, 16
2779228, 4, 0
2794816, 0, 4
2810420, 16, 9
2827056, 16, 0
2843712, 25, 4
2860348, 25, 1
2876976, 1, 0
2892568, 0, 0
2908176, 1, 0
2923780, 1, 0
2939380, 0, 4
2954980, 0, 9
2970572, 4, 1
2986180, 25, 1
3002820, 9, 1
3018416, 1, 0
3034008, 4, 0
3049624, 1, 0
3065220, 1, 1
3080820, 4, 1
3096412, 1, 0
3112016, 0, 1
3127624, 1, 4
3143224, 1, 1
3158816, 0, 0
