Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
5448908, 25, 144
5467620, 9, 169
5485304, 4, 1
5500888, 9, 25
5517544, 9, 144
5535216, 0, 1681
5553936, 9, 2809
5572668, 169, 841
5592424, 36, 9
5609064, 4, 25
5625700, 1, 100
5643380, 0, 676
5661060, 49, 25
5678740, 16, 0
5695388, 9, 49
5712028, 16, 36
5729708, 16, 25
5747380, 0, 100
5765044, 4, 1156
5783772, 1, 5625
5802492, 169, 2916
5823300, 529, 0
5840988, 16, 1681
5860740, 25, 1521
5880500, 16, 225
5899204, 121, 169
5918988, 81, 9
5935628, 4, 361
5953292, 16, 36
5970980, 0, 841
5988660, 100, 0
6006328, 81, 144
6025048, 4, 2500
6043784, 100, 361
6063532, 196, 441
6083304, 1, 361
6100976, 16, 1
6117624, 0, 100
6135312, 9, 400
6152984, 4, 1089
6171704, 256, 625
6191472, 144, 1
6209132, 0, 49
6225772, 0, 529
6243460, 0, 961
6261148, 16, 81
6278816, 64, 64
6296496, 9, 196
6314188, 1, 36
6330816, 16, 196
6349536, 4, 64
6366168, 4, 64
6382828, 0, 16
6399460, 0, 1
6415048, 49, 64
6432732, 1, 529
6450416, 1, 400
6468100, 4, 729
6485780, 169, 25
6504520, 36, 36
6522188, 4, 0
6537776, 36, 36
6555460, 16, 361
6574176, 16, 625
6592904, 25, 9
6609536, 9, 81
6626180, 4, 16
6642828, 16, 4
6659472, 25, 9
6676100, 25, 25
6693784, 64, 16
6711468, 49, 400
6730164, 16, 441
6748896, 16, 4
6765528, 1, 0
6781148, 9, 25
6797788, 1, 49
6814420, 9, 0
6830012, 0, 64
6846664, 0, 0
6862260, 1, 121
6879936, 1, 16
6896576, 4, 25
6913224, 0, 225
6930896, 4, 900
6948576, 36, 1849
6968336, 81, 1681
6988104, 64, 729
7006816, 4, 5041
7025528, 169, 1
7043212, 25, 2116
7062976, 100, 196
7082740, 0, 225
7100424, 100, 100
7120188, 4, 16
7136824, 4, 16
7153464, 25, 121
7172180, 0, 576
7189860, 36, 1089
7209628, 25, 16
7227296, 0, 625
7244988, 4, 49
7261616, 25, 961
7280344, 0, 0
7295936, 36, 225
7314668, 16, 16
7332340, 16, 0
7348988, 4, 16
7365612, 1, 324
7383304, 9, 144
7400988, 4, 16
7417616, 9, 324
7435308, 25, 289
7454028, 9, 1
7469620, 16, 144
7488344, 9, 196
7506016, 4, 729
7523696, 9, 1444
7542416, 81, 324
7561132, 16, 2704
7580900, 289, 289
7600660, 4, 1225
7619368, 9, 1936
7638100, 16, 64
7655796, 0, 1
7671376, 0, 4
7686984, 25, 36
7704668, 36, 36
7722344, 49, 16
7740016, 81, 9
7756656, 4, 4
7772268, 0, 1
7787864, 4, 49
7804492, 9, 1296
7823220, 1, 3025
7841948, 225, 784
7861696, 225, 81
7880404, 4, 361
7898092, 49, 144
7916820, 16, 1296
7936576, 196, 81
7955300, 36, 0
7971948, 49, 196
7990672, 16, 256
8009384, 81, 25
8027044, 0, 64
8043704, 4, 81
8060324, 25, 256
8079052, 0, 1296
8097776, 36, 1089
8117540, 196, 0
8135216, 36, 361
8153936, 0, 196
8171628, 49, 256
8190340, 36, 225
8209060, 4, 144
8226736, 1, 324
8244428, 1, 9
8260016, 49, 36
8277688, 0, 36
8294340, 49, 289
8313060, 16, 1444
8332832, 121, 841
8352568, 225, 169
8372344, 16, 16
8390032, 1, 225
8407696, 81, 121
8426400, 81, 1444
8446180, 49, 1024
8465948, 121, 2025
8486744, 25, 2601
8506508, 196, 676
8526264, 100, 1
8543936, 1, 900
8561612, 1, 1296
8580344, 36, 49
8598012, 81, 36
8615700, 1, 256
8633380, 0, 225
8651068, 16, 16
8668732, 0, 784
8686416, 16, 1521
8706176, 0, 121
8723860, 16, 400
8742576, 36, 144
8761284, 64, 8100
8781056, 4, 5476
8799780, 225, 121
8819528, 36, 529
8838268, 49, 121
8856972, 169, 3721
8877772, 49, 9604
8897524, 625, 3136
8918344, 144, 0
8936016, 4, 196
8953700, 9, 81
8970340, 36, 36
8988024, 49, 169
9006744, 169, 9
9024412, 121, 64
9043152, 36, 16
9060828, 0, 4
9076412, 16, 256
9095132, 16, 289
9113856, 0, 289
9131548, 100, 144
9151284, 0, 576
9168980, 49, 1764
9188740, 81, 1
9205380, 81, 400
9224092, 36, 36
9241780, 4, 289
9259460, 64, 1
9276096, 4, 121
9293776, 1, 1
9309372, 16, 784
9328092, 0, 1156
9346816, 1, 841
9364512, 36, 576
9383228, 25, 729
9401940, 4, 2116
9420660, 64, 1
9437316, 1, 100
9454988, 81, 49
9472660, 1, 784
9490332, 4, 400
9508020, 144, 16
9526732, 25, 121
9545460, 1, 225
9563132, 36, 196
9581872, 9, 361
9599540, 36, 144
9618260, 121, 4
9635936, 4, 49
9652584, 100, 121
9672348, 25, 1
9688984, 16, 121
9707708, 81, 400
9726420, 25, 1369
9746180, 25, 400
9764896, 121, 81
9783640, 0, 1
9799224, 36, 361
9817944, 4, 1089
9836656, 36, 2209
9856416, 144, 121
9876180, 289, 400
9895948, 25, 36
9913616, 16, 256
9932332, 4, 961
9950016, 100, 361
9969788, 49, 64
9987464, 4, 196
10005136, 0, 81
10022812, 36, 16
10041536, 1, 324
10060252, 0, 144
10078988, 121, 0
10097700, 81, 121
10117468, 36, 4
10135140, 144, 676
10155936, 4, 784
10174664, 64, 64
10193380, 25, 169
10213140, 25, 625
10232912, 16, 36
10251624, 16, 324
10271384, 0, 225
10290092, 36, 100
10309856, 1, 676
10328580, 9, 441
10347288, 361, 576
10368104, 25, 2116
10388912, 289, 625
10409700, 64, 49
10428412, 9, 64
10446100, 0, 289
10464824, 4, 625
10483540, 1, 100
10502256, 64, 16
10520988, 16, 1
10538664, 4, 36
10556340, 0, 121
10575064, 36, 1
10592736, 4, 1
10609380, 16, 0
10627052, 1, 1
10643700, 49, 4
10661376, 9, 0
10678012, 1, 0
10694652, 1, 1
10711300, 4, 9
10727940, 4, 4
10744580, 0, 0
10761216, 25, 9
10778908, 49, 16
10797624, 9, 1
10814248, 0, 0
10830904, 4, 64
10848584, 9, 121
10867292, 0, 9
10883928, 16, 16
10902656, 16, 25
10921384, 4, 25
10939056, 0, 4
10955696, 0, 100
10974428, 9, 324
10993140, 100, 64
11012896, 100, 25
11032656, 1, 16
11050352, 1, 25
11068024, 49, 4
11085704, 9, 36
11103376, 0, 64
11121068, 9, 25
11138748, 4, 0
11155368, 9, 100
11174104, 9, 64
11191780, 4, 0
11208420, 1, 1
11225048, 0, 25
11242748, 1, 121
11261464, 0, 36
11279128, 16, 9
11296828, 0, 25
11314508, 49, 289
11334260, 0, 64
11351944, 64, 0
11369624, 64, 9
11387300, 1, 25
11404976, 36, 25
11423696, 1, 256
11442424, 121, 289
11463216, 49, 64
11481944, 1, 16
11499632, 0, 4
11516272, 1, 9
11532904, 9, 169
11551624, 1, 36
11569296, 9, 4
11585936, 16, 64
11604660, 25, 16
11623372, 4, 4
11640024, 1, 1
11656660, 0, 1
11673300, 25, 0
11690972, 16, 4
11708668, 4, 16
11726340, 25, 196
11746092, 36, 169
11765872, 49, 121
11785616, 25, 36
11804340, 9, 9
11820964, 9, 9
11837616, 16, 0
11855300, 16, 64
11874020, 4, 324
11892744, 16, 9
11910432, 36, 49
11929128, 25, 4
11946812, 9, 4
11963464, 0, 1
11980100, 36, 100
11999860, 144, 361
12020644, 81, 64
12039380, 16, 4
12057060, 25, 4
12074736, 4, 0
12091372, 1, 16
12109068, 4, 9
12125696, 49, 676
12145448, 49, 484
12165228, 25, 121
12184976, 49, 144
12204740, 81, 169
12224484, 81, 196
12244268, 9, 49
12261940, 0, 4
12278568, 0, 0
12295224, 4, 16
12312896, 0, 4
12329536, 0, 9
12346180, 1, 100
12364912, 25, 400
12384656, 16, 400
12404412, 16, 81
12423144, 9, 1
12439788, 0, 4
12456412, 0, 289
12475148, 1, 324
12493860, 36, 36
12512576, 9, 36
12530260, 4, 25
12547940, 0, 4
12564588, 4, 4
12581224, 1, 64
12598912, 1, 196
12617628, 25, 49
12636356, 49, 4
12654024, 49, 64
12672736, 16, 100
12692504, 16, 0
12710184, 4, 36
12727856, 0, 16
12745540, 1, 0
12762180, 1, 4
12778832, 25, 4
12796504, 16, 4
12814184, 0, 1
12830824, 0, 0
12847468, 16, 25
12866184, 25, 1
12883864, 4, 36
12901548, 4, 1
12918176, 16, 0
12935872, 9, 1
12952500, 1, 16
12970192, 9, 36
12987860, 25, 64
13006576, 9, 36
13024240, 36, 64
13042984, 1, 0
13059640, 0, 16
13077296, 16, 25
13096028, 49, 36
13114744, 49, 16
13133452, 49, 16
13152168, 16, 9
13169860, 4, 1
13186492, 1, 0
13203140, 4, 0
13219776, 4, 49
13237468, 25, 81
13256168, 49, 49
13274888, 4, 4
13291544, 0, 81
13309228, 0, 16
13326888, 0, 4
13343536, 1, 0
13360176, 0, 1
13376820, 0, 9
13393448, 36, 4
13411140, 81, 64
13429868, 16, 1
13447536, 16, 4
13465216, 25, 25
13483936, 4, 16
13501628, 1, 36
13519300, 1, 0
13535936, 9, 0
13552572, 9, 36
13570268, 16, 100
13590020, 16, 25
13608748, 4, 9
13625388, 16, 4
13643064, 1, 1
13659696, 1, 9
13676340, 9, 4
13692988, 0, 1
13709628, 1, 9
13726260, 4, 81
13743940, 16, 400
13763704, 25, 100
13783456, 25, 25
13802172, 0, 16
13819852, 1, 4
13836508, 9, 9
13853140, 4, 1
13869776, 4, 16
13887444, 4, 9
13904108, 9, 100
13922808, 36, 81
13941528, 49, 16
13960268, 4, 25
13977940, 0, 225
13996664, 0, 169
14015376, 36, 169
14035152, 36, 144
14054900, 0, 36
14072580, 4, 25
14090268, 0, 49
14107948, 4, 169
14126660, 1, 81
14144332, 36, 144
14164100, 25, 81
14182832, 1, 9
14199460, 1, 16
14217124, 4, 225
14235864, 4, 121
14254580, 16, 4
14272256, 4, 0
14288900, 4, 36
14306600, 1, 1
14323220, 16, 256
14342980, 1, 324
14361704, 4, 64
14379380, 9, 9
14396012, 9, 4
14412652, 4, 36
14430336, 16, 64
14449060, 9, 0
14465700, 16, 64
14484424, 4, 1
14501060, 1, 225
14519780, 25, 196
14539540, 36, 0
14557228, 25, 1
14574900, 81, 64
14593620, 0, 144
14612336, 9, 49
14630020, 4, 9
14646668, 0, 225
14665384, 16, 49
14684096, 25, 0
14701776, 9, 16
14719456, 25, 16
14738176, 49, 0
14755868, 1, 25
14773548, 16, 121
14793288, 16, 49
14812028, 16, 16
14830740, 36, 25
14849464, 16, 36
14868180, 4, 25
14885852, 9, 1
14902496, 9, 25
14920172, 0, 4
14936816, 0, 0
14953456, 0, 4
14970100, 0, 4
14986744, 1, 4
15003380, 0, 0
