Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
""
323663948, 0, 64
323682668, 4, 4
323700336, 16, 9
323719064, 1, 49
323737784, 0, 169
323757536, 4,, 121
323645220, 0, 25
323663948, 0, 64
323682668, 4, 4
323700336, 16, 9
323719064, 1, 49
323737784, 0, 169
323757536, 4,51612, 10609, 8649
53872, 9216, 2916
56096, 441, 144
58244, 64, 256
60684, 289, 400
78368, 441, 225
96028, 9, 441
111632, 64, 0
127236, 100, 100
145964, 4, 256
162592, 64, 361
180268, 4, 6724
197948, 64, 4489
216668, 1024, 81
235388, 324, 2116
255156, 49, 4624
273860, 100, 256
292584, 121, 196
311312, 9, 49
326904, 1, 2809
344592, 0, 23104
363304, 361, 25281
384116, 1521, 2809
404904, 441, 289
423628, 9, 1681
441288, 169, 12544
462120, 529, 2116
481884, 256, 36
499544, 1, 5184
517228, 576, 7569
536988, 1089, 2025
557780, 225, 225
576500, 576, 1936
596276, 81, 2704
615008, 961, 1089
634744, 484, 49
652428, 9, 4225
670128, 25, 5929
688828, 4, 1849
706512, 81, 1
722112, 9, 3600
739784, 1, 7056
757472, 16, 529
775136, 144, 144
793880, 25, 81
810528, 16, 0
826120, 16, 121
843804, 25, 576
861480, 4, 2304
879152, 64, 1
894752, 9, 2601
912448, 64, 729
930128, 9, 144
946744, 25, 729
964432, 16, 16
981064, 64, 9216
999792, 4, 14884
1018520, 900, 3481
1039292, 784, 16
1058036, 4, 1849
1076748, 1, 1521
1095476, 25, 784
1114196, 121, 36
1132916, 0, 49
1149544, 169, 2704
1170352, 0, 4096
1189080, 400, 121
1208828, 64, 49
1226504, 4, 529
1244204, 121, 100
1263960, 121, 144
1283728, 4, 169
1301392, 9, 49
1318032, 49, 961
1336760, 4, 400
1354436, 9, 841
1372108, 16, 2209
1391880, 9, 81
1408508, 1, 3249
1427224, 81, 196
1445948, 25, 4624
1465712, 81, 1156
1485476, 36, 1296
1505212, 81, 7225
1525000, 169, 2601
1545784, 196, 2809
1566580, 100, 9025
1587388, 225, 8464
1608172, 529, 8100
1629000, 361, 5329
1649792, 289, 1600
1670580, 144, 49
1689320, 9, 1764
1708024, 0, 1521
1726760, 9, 169
1744440, 0, 289
1762100, 36, 0
1778748, 4, 529
1796432, 1, 676
1814116, 64, 1296
1833876, 484, 361
1853628, 144, 2025
1874436, 25, 1444
1894192, 225, 4
1911868, 1, 361
1929568, 121, 0
1947232, 4, 196
1964900, 0, 3249
1983632, 36, 6400
2003388, 361, 1
2021072, 81, 25
2038728, 16, 1764
2058512, 25, 25
2076204, 9, 324
2093864, 169, 2025
2114676, 9, 3600
2133400, 64, 484
2152104, 196, 196
2171856, 121, 361
2191632, 81, 1089
2211396, 100, 7396
2232180, 144, 2209
2252992, 81, 196
2271704, 81, 2601
2291452, 1, 9025
2310184, 400, 6084
2330996, 484, 484
2350748, 9, 0
2366368, 1, 361
2384044, 64, 16
2401716, 4, 961
2419392, 9, 2209
2438100, 81, 2401
2457872, 49, 4
2474524, 1, 16
2491156, 0, 49
2507784, 36, 1444
2527556, 16, 9
2544188, 324, 3364
2564984, 1, 2704
2583708, 144, 81
2602428, 100, 49
2621152, 289, 81
2639872, 49, 576
2658616, 169, 36
2677316, 36, 1024
2697072, 1, 1225
2715800, 144, 0
2733472, 196, 361
2753232, 4, 169
2770908, 16, 2401
2790664, 144, 5041
2811464, 36, 11664
2832260, 144, 8100
2853060, 900, 1024
2873864, 64, 10404
2894648, 484, 6400
2915480, 100, 1849
2936276, 25, 196
2955004, 289, 4
2972668, 1, 1156
2991384, 169, 2500
3012208, 36, 289
3030920, 0, 169
3048596, 9, 2304
3067300, 0, 1
3082892, 25, 1369
3102656, 25, 784
3121388, 4, 324
3139068, 81, 1936
3158816, 25, 4900
3178588, 100, 1521
3199396, 4, 1296
3218104, 36, 3721
3237868, 16, 529
3256584, 100, 529
3276348, 4, 1936
3295072, 36, 961
3313788, 144, 2500
3334584, 225, 1
3352252, 121, 0
3369936, 9, 4
3385548, 16, 1296
3405304, 25, 225
3424024, 49, 0
3440668, 1, 3025
3459400, 9, 576
3477068, 169, 256
3496832, 0, 9
3512436, 36, 144
3531152, 144, 0
3548832, 25, 361
3567536, 49, 1296
3587320, 0, 1296
3606032, 64, 3249
3625788, 121, 1764
3646596, 81, 4
3663228, 9, 196
3680912, 16, 0
3697536, 64, 1156
3717324, 25, 0
3733944, 36, 841
3752676, 121, 2916
3773464, 169, 841
3793232, 64, 169
3811948, 4, 4
3827532, 25, 900
3846260, 0, 1681
3864988, 100, 576
3884748, 36, 2704
3904496, 81, 400
3923240, 36, 441
3941952, 16, 400
3960684, 1, 169
3978364, 1, 289
3996028, 64, 1024
4015792, 0, 4
4031392, 25, 961
4050112, 0, 676
4067796, 49, 225
4086500, 100, 1521
4107308, 81, 900
4126040, 169, 324
4145792, 16, 400
4164504, 16, 441
4183240, 16, 49
4200912, 4, 400
4218588, 4, 1024
4237324, 25, 100
4256036, 16, 16
4273704, 36, 3249
4293484, 16, 1600
4313220, 361, 1089
4334032, 100, 256
4353792, 64, 36
4371476, 4, 361
4389172, 1, 121
4406836, 16, 9
4423468, 16, 576
4442188, 0, 841
4459884, 49, 4
4476508, 49, 2304
4496276, 1, 3136
4514988, 49, 25
4532664, 9, 3481
4551384, 49, 4900
4571160, 144, 1600
4591960, 36, 16
4609628, 0, 441
4627320, 1, 729
4644996, 49, 289
4663716, 49, 4
4680360, 4, 441
4698024, 0, 625
4715712, 36, 144
4734428, 25, 64
4752120, 16, 225
4770828, 64, 1521
4790588, 64, 2304
4810352, 64, 225
4829072, 4, 5184
4847804, 196, 3721
4868584, 225, 1681
4889408, 36, 1296
4909148, 81, 169
4927872, 81, 1369
4947632, 9, 441
4965304, 36, 1296
4985072, 36, 1369
5004848, 121, 484
5024600, 16, 25
5042276, 36, 625
5060992, 0, 1089
5079708, 169, 900
5099472, 36, 1089
5119252, 0, 1
5134836, 49, 841
5153560, 4, 1
5169144, 100, 196
5188924, 16, 625
5207636, 4, 529
5225312, 256, 196
5245076, 25, 324
5263792, 64, 16
5281480, 16, 81
5299156, 9, 49
5315788, 81, 1225
5335556, 1, 4225
5354264, 9, 196
5371952, 361, 169
5391712, 9, 81
5408352, 9, 0
5423956, 196, 25
5442676, 49, 169
5461396, 16, 256
5480116, 4, 1369
5498820, 64, 256
5517556, 4, 961
5535224, 25, 4096
5554988, 64, 625
5573712, 144, 2500
5594508, 0, 17161
5614264, 9, 10000
5634016, 289, 64
5652744, 0, 6241
5671460, 289, 5929
5692276, 196, 1521
5713080, 81, 144
5731788, 49, 196
5750516, 25, 900
5769208, 100, 1681
5790036, 16, 841
5808748, 81, 64
5826428, 169, 1089
5847236, 49, 441
5865956, 324, 25
5884660, 289, 256
5904448, 16, 225
5923160, 121, 100
5942912, 4, 9
5958504, 36, 484
5977232, 9, 441
