Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
87306908, 64, 1
48732587197688, 1, 0
487215384, 0, 36
487234104, 9, 25
487252828, 36, 4
487271544, 4, 9
487289216, 0, 0
487306908, 64, 1
48732551612, 10404, 9216
53868, 8649, 3721
56096, 441, 225
58232, 100, 81
60676, 441, 441
78360, 169, 121
96028, 25, 81
111640, 169, 169
130356, 225, 0
146988, 144, 16
164676, 16, 36
181320, 4, 25
196916, 144, 49
214600, 16, 16
231236, 0, 49
246832, 36, 16
263484, 1, 1
278036, 4, 16
293636, 16, 4
309232, 36, 16
325884, 256, 1
342516, 196, 0
359152, 9, 16
374748, 4, 0
389324, 4, 0
403884, 16, 25
420516, 0, 4
435080, 1, 1
449632, 4, 16
465236, 49, 1
480832, 16, 16
497464, 25, 4
513072, 64, 25
529716, 36, 16
546352, 81, 1
561948, 576, 4
578592, 169, 9
595244, 0, 0
609796, 0, 0
624356, 81, 0
639960, 169, 0
656600, 36, 0
672192, 144, 16
689876, 25, 9
705464, 81, 1
721076, 49, 16
737720, 100, 4
754356, 169, 9
770976, 64, 25
787640, 4, 1
802204, 36, 25
818836, 25, 4
834436, 9, 0
849008, 1, 0
863576, 676, 1
880196, 841, 36
897876, 9, 4
912448, 25, 1
928036, 9, 9
942596, 9, 16
958200, 25, 1
973788, 100, 0
990440, 144, 1
1007080, 121, 49
1025788, 81, 25
1043488, 9, 0
1059076, 576, 1
1076760, 361, 9
1094436, 400, 16
1113152, 2209, 49
1132916, 1225, 81
1152676, 0, 0
1168272, 361, 81
1187004, 16, 64
1204664, 324, 16
1223384, 36, 0
1240024, 289, 4
1257720, 289, 0
1275400, 16, 1
1292040, 100, 9
1309720, 400, 1
1327400, 9, 0
1343000, 1024, 0
1361712, 625, 81
1380440, 0, 81
1397088, 225, 9
1414748, 256, 1
1432440, 144, 81
1451152, 1936, 81
1470904, 3136, 25
1490668, 1764, 81
1510432, 1764, 64
1530184, 1369, 81
1549956, 1156, 0
1568672, 1296, 100
1589472, 900, 81
1608188, 196, 64
1626920, 36, 121
1645648, 361, 4
1663324, 36, 16
1680996, 121, 25
1699716, 169, 100
1719484, 36, 169
1738196, 529, 9
1755868, 196, 16
1774576, 625, 324
1794352, 121, 1024
1815144, 2704, 441
1835940, 3136, 676
1856768, 225, 81
1875472, 484, 81
1894188, 576, 0
1911876, 324, 0
1929568, 36, 0
1946196, 1156, 1
1964916, 2116, 144
1985728, 484, 324
2005476, 400, 144
2025236, 324, 9
2042920, 16, 9
2059572, 144, 16
2078256, 289, 289
2098012, 2025, 400
2118832, 841, 100
2138584, 144, 4
2156260, 1521, 25
2176036, 3249, 256
2196848, 121, 25
2215560, 256, 9
2233232, 4, 64
2249876, 1024, 144
2270672, 784, 100
2290440, 36, 121
2309164, 256, 16
2327888, 196, 4
2345560, 225, 4
2363236, 1369, 49
2383004, 729, 36
2401712, 9, 1
2417316, 289, 1
2434992, 729, 4
2452672, 121, 49
2471396, 64, 121
2490108, 121, 25
2508848, 9, 9
2524436, 324, 1
2542116, 1089, 25
2561876, 49, 9
2578532, 121, 225
2598288, 36, 25
2615960, 25, 36
2633620, 64, 25
2651320, 441, 36
2670044, 361, 1
2687720, 0, 64
2704348, 36, 121
2723076, 0, 0
2738672, 625, 9
