Timestamp (micros),Sensor1 (mV),Sensor2 (mV)
5537308, 7569, 16
5557040, 10404, 484
5578896, 576, 225
5598660, 36, 49
5616340, 225, 4
5634020, 4, 144
5651708, 121, 36
5670408, 324, 1
5688092, 3025, 81
5707856, 1296, 484
5728660, 144, 49
5747380, 324, 49
5766076, 2025, 49
5785864, 3025, 225
5806652, 289, 196
5826420, 81, 4
5843056, 576, 25
5861772, 81, 121
5880496, 3600, 4
5899200, 3249, 100
5920012, 3600, 1
5938728, 5329, 289
5959520, 2704, 256
5980328, 6724, 9
5999052, 4096, 169
6019844, 324, 961
6039604, 9, 676
6057292, 2116, 1
6076016, 256, 9
6093688, 361, 0
6111376, 576, 529
6131120, 1521, 121
6151928, 121, 4
6169592, 1849, 169
6190408, 9801, 196
6211196, 12544, 256
6233048, 2401, 9
6251796, 0, 256
6269452, 784, 121
6289208, 576, 16
6307948, 4, 49
6324580, 16, 0
6341212, 676, 324
6360968, 676, 9
6378672, 25, 25
6396340, 676, 4
6414008, 49, 36
6431692, 9, 81
6448340, 196, 64
6467064, 49, 25
6484736, 16, 121
6503464, 144, 1
6521144, 0, 25
6537776, 100, 100
6557536, 100, 196
6577300, 484, 36
6596020, 64, 49
6613696, 25, 9
6630320, 529, 144
6650104, 484, 289
6669868, 49, 1
6686492, 900, 441
6706260, 2401, 961
6727048, 289, 49
6745772, 12996, 625
6767600, 8649, 1369
6789456, 100, 36
6808172, 625, 400
6827932, 1296, 256
6848744, 256, 144
6868488, 1296, 0
6887208, 3969, 144
6908024, 100, 0
6925688, 3025, 529
6946492, 2025, 81
6966256, 4, 1
6981852, 4225, 196
7002644, 9, 961
7020332, 225, 1
7038024, 100, 4
7055700, 1, 25
7072320, 1369, 0
7091052, 4356, 169
7111860, 2025, 225
7132644, 961, 225
7152400, 26244, 529
7174252, 12100, 1296
7197132, 1681, 16
7216888, 1369, 0
7235608, 196, 1024
7256428, 2304, 121
7277208, 15876, 289
7299052, 7569, 49
7318812, 10816, 196
7340644, 5329, 676
7361452, 1156, 4
7380180, 3721, 0
7398880, 20449, 2209
7421776, 1849, 1024
7443624, 11025, 576
7465444, 23409, 1849
7488328, 625, 225
7508092, 1225, 25
7527852, 169, 121
7547604, 2116, 144
7568408, 9, 36
7585052, 9, 49
7601680, 400, 121
7621440, 1369, 9
7640172, 8836, 784
7660960, 361, 441
7680728, 0, 289
7698388, 6724, 400
7719212, 1089, 576
7740000, 1024, 1156
7761836, 169, 9
7779528, 100, 225
7799288, 324, 841
7819048, 3364, 121
7839864, 2025, 169
7860644, 1024, 121
7881448, 3844, 361
7902252, 3844, 0
7920976, 3844, 81
7940720, 2601, 1156
7962560, 7056, 121
7983368, 26896, 1156
8006240, 2401, 100
8027032, 2116, 25
8046832, 9216, 2601
8068644, 361, 1156
8089444, 8836, 1156
8111292, 1681, 36
8131052, 5776, 324
8151852, 0, 4
8167444, 16129, 2401
8190320, 361, 2401
8211116, 4624, 324
8231928, 13225, 1936
8254808, 6889, 900
8275600, 9409, 25
8295368, 4489, 625
8316180, 225, 324
8335936, 1, 169
8353604, 3025, 484
8374412, 5776, 324
8395204, 1024, 196
8416016, 1296, 0
8434740, 3969, 1
8453456, 4096, 400
8474248, 3969, 841
8495048, 1936, 256
8515860, 25, 121
8534592, 0, 81
8551220, 169, 0
8568888, 169, 49
8587612, 100, 25
8606332, 1681, 64
8626088, 5776, 196
8646896, 2116, 441
8667684, 961, 144
8687448, 5041, 324
8708252, 10404, 529
8730080, 11025, 196
8751932, 3249, 225
8772736, 1444, 25
8792488, 3364, 196
8813292, 6724, 81
8833032, 0, 2704
8851764, 16900, 2116
8874648, 14400, 169
8896468, 26896, 2401
8919356, 11664, 1764
8942252, 10000, 4
8962000, 3136, 529
8982820, 16, 400
9001544, 256, 196
9021288, 2916, 0
9040008, 4489, 441
9060800, 6084, 100
9081600, 5041, 676
9102416, 256, 324
9122152, 1089, 196
9142952, 1444, 9
9161676, 16641, 1600
9184576, 0, 2601
9203288, 0, 1521
9222012, 484, 1225
9242796, 2809, 49
9262572, 961, 25
9281284, 4096, 100
9302092, 1444, 400
9322896, 784, 225
9342656, 324, 256
9362392, 1024, 169
9383208, 5929, 100
9404012, 23716, 900
9425824, 19321, 1225
9448736, 4, 4
9464332, 289, 289
9484092, 1156, 729
9504900, 144, 625
9524648, 324, 25
9543364, 14161, 196
9565224, 2500, 3364
9587048, 13689, 324
9608888, 16, 25
9626560, 961, 324
