Timestamp,,Sensor1,Sensor2,,,,
18:50:50,0.816,576,49,,,,
18:50:50,0.824,1156,0,,,,
18:50:50,0.832,256,49,,,,
18:50:50,0.84,225,49,,,,
18:50:50,0.848,64,25,,,,
18:50:50,0.856,625,0,,,,
18:50:50,0.864,6241,9,,,,
18:50:50,0.872,6400,324,,,,
18:50:50,0.88,961,324,,,,
18:50:50,0.888,1,225,,,,
18:50:50,0.896,4,289,,,,
18:50:50,0.904,49,144,,,,
18:50:50,0.912,144,4,,,,
18:50:50,0.92,16,1,,,,
18:50:50,0.928,484,36,,,,
18:50:50,0.936,256,9,,,,
18:50:50,0.944,36,1,,,,
18:50:50,0.952,100,4,,,,
18:50:50,0.96,324,16,,,,
18:50:50,0.968,361,49,,,,
18:50:50,0.976,121,1,,,,
18:50:50,0.984,9,1,,,,
18:50:50,0.992,9,49,,,,
18:50:51,1,36,36,,,,
18:50:51,1.008,9,16,,,,
18:50:51,1.016,4,9,,,,
18:50:51,1.024,49,0,,,,
18:50:51,1.032,196,1,,,,
18:50:51,1.04,529,16,,,,
18:50:51,1.048,625,49,,,,
18:50:51,1.056,121,9,,,,
18:50:51,1.064,16,1,,,,
18:50:51,1.072,81,4,,,,
18:50:51,1.08,144,4,,,,
18:50:51,1.088,169,9,,,,
18:50:51,1.096,529,64,,,,
18:50:51,1.104,1296,9,,,,
18:50:51,1.112,196,1,,,,
18:50:51,1.12,784,1,,,,
18:50:51,1.128,2500,49,,,,
18:50:51,1.136,1521,100,,,,
18:50:51,1.144,16,64,,,,
18:50:51,1.152,729,81,,,,
18:50:51,1.16,36,144,,,,
18:50:51,1.168,2304,64,,,,
18:50:51,1.176,1936,121,,,,
18:50:51,1.184,49,0,,,,
18:50:51,1.192,400,4,,,,
18:50:51,1.2,676,36,,,,
18:50:51,1.208,49,0,,,,
18:50:51,1.216,1681,49,,,,
18:50:51,1.224,576,225,,,,
18:50:51,1.232,49,1,,,,
18:50:51,1.24,169,1,,,,
18:50:51,1.248,1,81,,,,
18:50:51,1.256,576,49,,,,
18:50:51,1.264,441,121,,,,
18:50:51,1.272,144,9,,,,
18:50:51,1.28,36,36,,,,
18:50:51,1.288,961,1,,,,
18:50:51,1.296,841,25,,,,
18:50:51,1.304,64,1,,,,
18:50:51,1.312,196,4,,,,
18:50:51,1.32,196,0,,,,
18:50:51,1.328,324,25,,,,
18:50:51,1.336,36,25,,,,
18:50:51,1.344,9,9,,,,
18:50:51,1.352,400,25,,,,
18:50:51,1.36,225,169,,,,
18:50:51,1.368,169,1,,,,
18:50:51,1.376,25,16,,,,
18:50:51,1.384,25,9,,,,
18:50:51,1.392,9,9,,,,
18:50:51,1.4,400,36,,,,
18:50:51,1.408,961,9,,,,
18:50:51,1.416,121,9,,,,
18:50:51,1.424,0,0,,,,
18:50:51,1.432,169,0,,,,
18:50:51,1.44,196,1,,,,
18:50:51,1.448,9,0,,,,
18:50:51,1.456,16,0,,,,
18:50:51,1.464,144,1,,,,
18:50:51,1.472,256,9,,,,
18:50:51,1.48,100,9,,,,
18:50:51,1.488,225,0,,,,
18:50:51,1.496,900,16,,,,
18:50:51,1.504,16,1,,,,
18:50:51,1.512,225,16,,,,
18:50:51,1.52,144,0,,,,
18:50:51,1.528,9,4,,,,
18:50:51,1.536,144,1,,,,
18:50:51,1.544,256,49,,,,
18:50:51,1.552,25,16,,,,
18:50:51,1.56,16,4,,,,
18:50:51,1.568,49,1,,,,
18:50:51,1.576,0,9,,,,
18:50:51,1.584,0,1,,,,
18:50:51,1.592,0,0,,,,
18:50:51,1.6,0,0,,,,
18:50:51,1.608,49,9,,,,
18:50:51,1.616,1,1,,,,
18:50:51,1.624,9,0,,,,
18:50:51,1.632,4,0,,,,
18:50:51,1.64,1,4,,,,
18:50:51,1.648,144,0,,,,
18:50:51,1.656,144,4,,,,
18:50:51,1.664,64,4,,,,
18:50:51,1.672,0,0,,,,
18:50:51,1.68,100,0,,,,
18:50:51,1.688,36,4,,,,
18:50:51,1.696,121,0,,,,
18:50:51,1.704,196,9,,,,
18:50:51,1.712,0,1,,,,
18:50:51,1.72,9,9,,,,
18:50:51,1.728,9,4,,,,
18:50:51,1.736,1,4,,,,
