Timestamp,Sensor1,Sensor2
18:41:54,1
18:41:54,1, 0
18:41:54,0, 1
18:41:54,0, 4
18:41:54,1, 1
18:41:54,0, 0
18:41:54,0, 0
18:41:54,0, 1
18:41:54,0, 0
18:41:54,0, 1
18:41:54,0, 4
18:41:54,0, 1
18:41:54,0, 0
18:41:54,0, 1
18:41:54,0, 1
18:41:54,0, 1
18:41:54,0, 011236, 9604
18:41:54,10404, 4096
18:41:54,729, 729
18:41:54,100, 784
18:41:54,729, 2116
18:41:54,9, 625
18:41:54,16, 64
18:41:54,0, 4489
18:41:54,25, 2916
18:41:54,196, 841
18:41:54,361, 3025
18:41:54,144, 1156
18:41:54,1, 900
18:41:54,1, 2116
18:41:54,81, 2809
18:41:54,484, 529
18:41:54,324, 361
18:41:54,1, 625
18:41:54,1, 7056
18:41:54,289, 576
18:41:54,81, 196
18:41:54,0, 4761
18:41:54,625, 1156
18:41:54,676, 11449
18:41:54,529, 0
18:41:54,2116, 20736
18:41:54,1156, 7396
18:41:54,676, 676
18:41:54,625, 676
18:41:54,0, 4356
18:41:54,16, 9216
18:41:54,1024, 1024
18:41:54,289, 324
18:41:54,324, 3721
18:41:54,0, 0
18:41:54,1089, 0
18:41:54,1849, 5184
18:41:54,676, 324
18:41:54,144, 0
18:41:54,49, 225
18:41:54,225, 2116
18:41:54,49, 7225
18:41:54,9, 4
18:41:54,400, 4356
18:41:54,225, 3249
18:41:54,729, 36
18:41:54,1, 49
18:41:54,9, 2916
18:41:54,144, 5625
18:41:54,64, 49
18:41:54,4, 2304
18:41:54,1, 784
18:41:54,4, 361
18:41:54,4, 1225
18:41:54,1, 324
18:41:54,81, 49
18:41:54,25, 529
18:41:54,25, 256
18:41:54,144, 16
18:41:54,49, 4
18:41:54,25, 1369
18:41:54,256, 1764
18:41:55,400, 441
18:41:55,4, 625
18:41:55,0, 36
18:41:55,121, 169
18:41:55,25, 196
18:41:55,64, 36
18:41:55,121, 841
18:41:55,49, 25
18:41:55,81, 81
18:41:55,1, 4
18:41:55,1, 4
18:41:55,0, 196
18:41:55,16, 256
18:41:55,1, 16
18:41:55,1, 0
18:41:55,25, 9
18:41:55,0, 361
18:41:55,1, 1849
18:41:55,16, 1681
18:41:55,16, 676
18:41:55,4, 1521
18:41:55,121, 4096
18:41:55,324, 1849
18:41:55,324, 25
18:41:55,81, 625
18:41:55,1, 1296
18:41:55,0, 11025
18:41:55,441, 3025
18:41:55,961, 4225
18:41:55,81, 21316
18:41:55,256, 10816
18:41:55,961, 81
18:41:55,36, 2916
18:41:55,25, 1681
18:41:55,100, 81
18:41:55,169, 841
18:41:55,36, 1521
18:41:55,25, 3364
18:41:55,81, 3249
18:41:55,256, 100
18:41:55,81, 361
18:41:55,144, 289
18:41:55,100, 121
18:41:55,1, 961
18:41:55,25, 1936
18:41:55,25, 841
18:41:55,4, 841
18:41:55,0, 361
18:41:55,25, 100
18:41:55,1, 144
18:41:55,64, 625
18:41:55,529, 2304
18:41:55,256, 2116
18:41:55,0, 196
18:41:55,16, 169
18:41:55,49, 81
18:41:55,169, 256
18:41:55,1, 25
18:41:55,0, 256
18:41:55,36, 256
18:41:55,0, 1
18:41:55,9, 121
18:41:55,9, 25
18:41:55,49, 529
18:41:55,49, 441
18:41:55,100, 0
18:41:55,81, 529
18:41:55,9, 441
18:41:55,81, 9
18:41:55,9, 1024
18:41:55,9, 6084
18:41:55,1, 6400
18:41:55,64, 2916
18:41:55,1, 169
18:41:55,81, 961
18:41:55,64, 1600
18:41:55,0, 14161
18:41:55,0, 12769
18:41:55,841, 3249
18:41:55,289, 1764
18:41:55,289, 625
18:41:55,225, 1764
18:41:55,81, 529
18:41:55,576, 15129
18:41:55,529, 5625
18:41:55,961, 81
18:41:55,225, 1225
18:41:55,9, 676
18:41:55,9, 484
18:41:55,289, 7396
18:41:55,144, 7225
18:41:55,4, 400
18:41:55,9, 529
18:41:55,16, 1444
18:41:55,256, 3364
18:41:55,289, 4096
18:41:55,0, 25
18:41:55,1, 4356
18:41:55,121, 3136
18:41:55,576, 961
18:41:55,49, 361
18:41:55,0, 484
18:41:55,49, 2809
18:41:55,64, 1764
18:41:56,16, 1681
18:41:56,0, 5329
18:41:56,169, 961
18:41:56,225, 0
18:41:56,9, 625
18:41:56,1, 784
18:41:56,25, 1521
18:41:56,36, 9
18:41:56,49, 2209
18:41:56,289, 4624
18:41:56,9, 8464
18:41:56,529, 6084
18:41:56,961, 289
18:41:56,289, 841
18:41:56,9, 169
18:41:56,64, 2209
18:41:56,36, 5041
18:41:56,256, 10404
18:41:56,324, 900
18:41:56,361, 9409
18:41:56,64, 29241
18:41:56,1764, 6561
18:41:56,1444, 1681
18:41:56,4, 900
18:41:56,169, 3481
18:41:56,81, 5041
18:41:56,441, 961
18:41:56,324, 36
18:41:56,64, 8464
18:41:56,121, 16384
18:41:56,484, 3136
18:41:56,1936, 1296
18:41:56,225, 7056
18:41:56,25, 1225
18:41:56,0, 12769
18:41:56,25, 576
18:41:56,64, 3249
18:41:56,256, 6561
18:41:56,25, 900
18:41:56,324, 9801
18:41:56,1, 23104
18:41:56,2116, 1024
18:41:56,900, 2601
18:41:56,256, 676
18:41:56,49, 16
18:41:56,49, 324
18:41:56,49, 100
18:41:56,16, 225
18:41:56,400, 4900
18:41:56,196, 3364
18:41:56,484, 2704
18:41:56,676, 10000
18:41:56,441, 6724
18:41:56,441, 1849
18:41:56,529, 0
18:41:56,484, 169
18:41:56,49, 4
18:41:56,0, 729
18:41:56,25, 169
18:41:56,36, 1024
18:41:56,36, 961
18:41:56,25, 0
18:41:56,0, 361
18:41:56,9, 49
18:41:56,4, 1444
18:41:56,81, 6241
18:41:56,16, 5476
18:41:56,289, 1849
18:41:56,289, 169
18:41:56,4, 0
18:41:56,4, 484
18:41:56,100, 1024
18:41:56,64, 144
18:41:56,4, 289
18:41:56,1, 49
18:41:56,25, 961
18:41:56,25, 1521
18:41:56,196, 900
18:41:56,25, 0
18:41:56,0, 2704
18:41:56,169, 1764
18:41:56,484, 144
18:41:56,289, 441
18:41:56,361, 25
18:41:56,529, 49
18:41:56,36, 1156
18:41:56,0, 2209
18:41:56,121, 0
18:41:56,100, 9
18:41:56,25, 4356
18:41:56,625, 14641
18:41:56,1521, 6084
18:41:56,625, 64
18:41:56,144, 16
18:41:56,144, 2304
18:41:56,169, 576
18:41:56,81, 4
18:41:56,36, 36
18:41:56,81, 841
18:41:56,36, 1849
18:41:57,100, 1225
18:41:57,196, 4489
18:41:57,81, 841
18:41:57,25, 256
18:41:57,1, 9
18:41:57,64, 1156
18:41:57,400, 1936
18:41:57,324, 900
18:41:57,121, 2601
18:41:57,81, 9
18:41:57,9, 400
18:41:57,9, 3721
18:41:57,169, 324
18:41:57,81, 4624
18:41:57,144, 9801
18:41:57,169, 961
18:41:57,25, 8836
18:41:57,25, 22801
18:41:57,676, 6561
18:41:57,484, 324
18:41:57,64, 529
18:41:57,64, 1089
18:41:57,9, 1849
18:41:57,49, 2401
18:41:57,256, 81
18:41:57,16, 9
18:41:57,196, 196
18:41:57,1, 3249
18:41:57,4, 4
18:41:57,36, 6889
18:41:57,225, 1156
18:41:57,400, 144
18:41:57,49, 3136
18:41:57,49, 4624
18:41:57,484, 3600
18:41:57,4, 961
18:41:57,49, 400
18:41:57,196, 2116
18:41:57,0, 3136
18:41:57,16, 729
18:41:57,361, 49
18:41:57,64, 484
18:41:57,64, 324
18:41:57,1, 576
18:41:57,81, 400
18:41:57,16, 441
18:41:57,4, 2116
18:41:57,1, 625
18:41:57,64, 2116
18:41:57,36, 7225
18:41:57,484, 6561
18:41:57,361, 3600
18:41:57,256, 9801
18:41:57,576, 11664
18:41:57,676, 81
18:41:57,169, 8100
18:41:57,49, 4096
18:41:57,81, 784
18:41:57,4, 1296
18:41:57,25, 841
18:41:57,25, 3721
18:41:57,16, 9604
18:41:57,81, 900
18:41:57,36, 16
18:41:57,256, 2025
18:41:57,4, 4096
18:41:57,81, 529
18:41:57,64, 324
18:41:57,0, 225
18:41:57,4, 64
18:41:57,9, 961
18:41:57,16, 121
18:41:57,196, 529
18:41:57,81, 784
18:41:57,64, 2209
18:41:57,225, 3249
18:41:57,49, 1
18:41:57,4, 2500
18:41:57,121, 6561
18:41:57,100, 6724
18:41:57,9, 1849
18:41:57,1, 1089
18:41:57,9, 256
18:41:57,4, 784
18:41:57,49, 2209
18:41:57,144, 1681
18:41:57,81, 484
18:41:57,16, 36
18:41:57,36, 81
18:41:57,100, 1024
18:41:57,36, 1089
18:41:57,289, 484
18:41:57,49, 1444
18:41:57,16, 225
18:41:57,36, 36
18:41:57,441, 484
18:41:57,225, 0
18:41:57,289, 144
18:41:57,529, 100
18:41:57,36, 225
18:41:57,9, 4
18:41:57,324, 81
18:41:58,49, 225
18:41:58,16, 169
18:41:58,169, 1849
18:41:58,576, 2304
18:41:58,81, 1936
18:41:58,36, 361
18:41:58,361, 1156
18:41:58,36, 3721
18:41:58,100, 961
18:41:58,9, 16
18:41:58,9, 36
18:41:58,9, 4
18:41:58,1, 169
18:41:58,16, 361
18:41:58,4, 1681
18:41:58,0, 3600
18:41:58,81, 441
18:41:58,256, 961
18:41:58,25, 6241
18:41:58,36, 9025
18:41:58,64, 5184
18:41:58,0, 361
18:41:58,324, 18225
18:41:58,1849, 7744
18:41:58,1764, 144
18:41:58,9, 729
18:41:58,144, 10404
18:41:58,361, 15625
18:41:58,1849, 64
18:41:58,256, 20736
18:41:58,1024, 0
18:41:58,1089, 9216
18:41:58,484, 400
18:41:58,256, 4489
18:41:58,676, 23716
18:41:58,1444, 14400
18:41:58,676, 0
18:41:58,529, 10000
18:41:58,36, 13689
18:41:58,900, 6241
18:41:58,1225, 1024
18:41:58,441, 16
18:41:58,169, 1
18:41:58,49, 196
18:41:58,49, 4900
18:41:58,0, 8649
18:41:58,441, 4225
18:41:58,441, 1521
18:41:58,1, 5041
18:41:58,25, 13924
18:41:58,324, 3721
18:41:58,625, 1521
18:41:58,25, 2116
18:41:58,9, 961
18:41:58,1, 1764
18:41:58,196, 3481
18:41:58,676, 625
18:41:58,144, 12100
18:41:58,225, 27556
18:41:58,2500, 64
18:41:58,1681, 17161
18:41:58,81, 7225
18:41:58,784, 0
18:41:58,256, 8836
18:41:58,49, 25921
18:41:58,225, 15129
18:41:58,1521, 6084
18:41:58,625, 1369
18:41:58,169, 81
18:41:58,9, 16
18:41:58,225, 4
18:41:58,196, 0
18:41:58,1, 1296
18:41:58,9, 5476
18:41:58,676, 3481
18:41:58,400, 900
18:41:58,36, 4
18:41:58,144, 1369
18:41:58,9, 1444
18:41:58,289, 1225
18:41:58,144, 5329
18:41:58,9, 15876
18:41:58,441, 20164
18:41:58,625, 1156
18:41:58,225, 5776
18:41:58,49, 441
18:41:58,676, 9025
18:41:58,121, 7744
18:41:58,100, 225
18:41:58,4, 4761
18:41:58,256, 9216
18:41:58,676, 12996
18:41:58,729, 9801
18:41:58,324, 2304
18:41:58,81, 16
18:41:59,144, 529
18:41:59,100, 3721
18:41:59,1, 2500
18:41:59,36, 289
18:41:59,121, 16
18:41:59,256, 529
18:41:59,36, 529
18:41:59,25, 6241
18:41:59,25, 7396
18:41:59,256, 4489
18:41:59,256, 0
18:41:59,36, 625
18:41:59,196, 1600
18:41:59,225, 2209
18:41:59,64, 121
18:41:59,529, 100
18:41:59,289, 225
18:41:59,36, 289
18:41:59,0, 14884
18:41:59,529, 0
18:41:59,3600, 22801
18:41:59,2116, 3721
18:41:59,1, 6724
18:41:59,144, 8100
18:41:59,784, 900
18:41:59,36, 324
18:41:59,400, 400
18:41:59,49, 81
18:41:59,100, 11449
18:41:59,100, 7396
18:41:59,324, 9
18:41:59,144, 289
18:41:59,289, 361
18:41:59,289, 676
18:41:59,0, 8836
18:41:59,324, 6400
18:41:59,1681, 3025
18:41:59,289, 1600
18:41:59,169, 7396
18:41:59,25, 1156
18:41:59,1, 100
18:41:59,289, 2809
18:41:59,529, 7396
18:41:59,529, 1849
18:41:59,169, 49
18:41:59,1, 1369
18:41:59,9, 1369
18:41:59,16, 676
18:41:59,0, 2025
18:41:59,4, 2025
18:41:59,1, 3364
18:41:59,1, 11236
18:41:59,16, 11236
18:41:59,1089, 784
18:41:59,1369, 4900
18:41:59,36, 5329
18:41:59,121, 729
18:41:59,0, 169
18:41:59,9, 1024
18:41:59,144, 1521
18:41:59,289, 1
18:41:59,100, 324
18:41:59,9, 144
18:41:59,4, 2025
18:41:59,4, 3136
18:41:59,9, 2809
18:41:59,4, 4096
18:41:59,144, 9
18:41:59,676, 8649
18:41:59,4, 13924
18:41:59,841, 2116
18:41:59,484, 1849
18:41:59,64, 2601
18:41:59,4, 0
18:41:59,9, 100
18:41:59,16, 1024
18:41:59,196, 3600
18:41:59,4, 7396
18:41:59,289, 6724
18:41:59,441, 400
18:41:59,49, 169
18:41:59,64, 529
18:41:59,36, 361
18:41:59,289, 36
18:41:59,4, 3364
18:41:59,100, 7569
18:41:59,49, 2401
18:41:59,4, 900
18:41:59,1, 81
18:41:59,16, 784
18:41:59,25, 841
18:41:59,121, 2116
18:41:59,25, 2601
18:41:59,49, 784
18:41:59,9, 1444
18:41:59,16, 3844
18:41:59,361, 2601
18:41:59,324, 49
18:41:59,9, 2601
18:42:00,25, 5041
18:42:00,81, 5625
18:42:00,100, 1936
18:42:00,1, 361
18:42:00,4, 100
18:42:00,25, 576
18:42:00,4, 361
18:42:00,9, 7056
18:42:00,169, 10816
18:42:00,225, 11025
18:42:00,64, 1849
18:42:00,225, 0
18:42:00,25, 100
18:42:00,0, 10609
18:42:00,36, 26896
18:42:00,289, 26569
18:42:00,576, 24025
18:42:00,25, 3025
18:42:00,0, 169
18:42:00,529, 25
18:42:00,1369, 1024
18:42:00,361, 441
18:42:00,400, 484
18:42:00,121, 1369
18:42:00,121, 2704
18:42:00,324, 3249
18:42:00,625, 2401
18:42:00,441, 484
18:42:00,49, 13924
18:42:00,100, 0
18:42:00,1156, 18225
18:42:00,1156, 1156
18:42:00,64, 3364
18:42:00,4, 3025
18:42:00,16, 1
18:42:00,0, 7396
18:42:00,0, 22201
18:42:00,1225, 4761
18:42:00,900, 1089
18:42:00,25, 2401
18:42:00,25, 5776
18:42:00,4, 17689
18:42:00,361, 19044
18:42:00,441, 576
18:42:00,16, 7744
18:42:00,169, 2209
18:42:00,1, 196
18:42:00,676, 289
18:42:00,625, 121
18:42:00,324, 225
18:42:00,400, 729
18:42:00,169, 1849
18:42:00,25, 6889
18:42:00,1, 7569
18:42:00,1, 729
18:42:00,25, 4
18:42:00,100, 1681
18:42:00,256, 6889
18:42:00,324, 2401
18:42:00,324, 36
18:42:00,81, 256
18:42:00,1, 64
18:42:00,81, 7921
18:42:00,49, 17956
18:42:00,225, 1936
18:42:00,400, 1521
18:42:00,0, 2601
18:42:00,16, 64
18:42:00,4, 5041
18:42:00,9, 1521
18:42:00,361, 169
18:42:00,49, 900
18:42:00,121, 36
18:42:00,4, 1600
18:42:00,196, 3136
18:42:00,361, 3721
18:42:00,225, 1600
18:42:00,324, 256
18:42:00,144, 484
18:42:00,49, 841
18:42:00,169, 1764
18:42:00,144, 2209
18:42:00,36, 529
18:42:00,1, 0
