Timestamp,Sensor1,Sensor2
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,011025, 8836
19:17:26,9216, 3249
19:17:26,400, 196
19:17:26,100, 121
19:17:26,324, 441
19:17:26,289, 100
19:17:26,0, 49
19:17:26,144, 169
19:17:26,64, 9
19:17:26,4, 64
19:17:26,49, 16
19:17:26,1, 25
19:17:26,49, 49
19:17:26,9, 0
19:17:26,9, 36
19:17:26,16, 4
19:17:26,0, 9
19:17:26,16, 9
19:17:26,4, 0
19:17:26,1, 4
19:17:26,9, 4
19:17:26,0, 1
19:17:26,4, 9
19:17:26,1, 0
19:17:26,0, 4
19:17:26,4, 0
19:17:26,0, 0
19:17:26,1, 0
19:17:26,1, 0
19:17:26,0, 4
19:17:26,0, 0
19:17:26,0, 0
19:17:26,4, 1
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,1, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,1, 0
19:17:26,0, 0
19:17:26,1, 0
19:17:26,0, 1
19:17:26,0, 0
19:17:26,1, 9
19:17:26,1, 1
19:17:26,0, 1
19:17:26,0, 4
19:17:26,1, 0
19:17:26,0, 4
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,1, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 0
19:17:26,1, 0
19:17:26,0, 1
19:17:26,0, 0
19:17:26,1, 0
19:17:26,0, 1
19:17:26,0, 1
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 4
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,1, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,1, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 1
19:17:26,1, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 1
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 1
19:17:26,0, 0
19:17:26,1, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:26,0, 0
19:17:27,0, 1
19:17:27,0, 1
19:17:27,0, 1
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,1, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 4
19:17:27,0, 1
19:17:27,0, 1
19:17:27,0, 9
19:17:27,4, 9
19:17:27,4, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 0
19:17:27,4, 1
19:17:27,4, 4
19:17:27,0, 9
19:17:27,4, 16
19:17:27,9, 9
19:17:27,16, 9
19:17:27,16, 25
19:17:27,9, 25
19:17:27,0, 4
19:17:27,4, 4
19:17:27,1, 9
19:17:27,0, 9
19:17:27,1, 4
19:17:27,0, 0
19:17:27,0, 1
19:17:27,4, 9
19:17:27,4, 9
19:17:27,1, 1
19:17:27,0, 1
19:17:27,0, 4
19:17:27,0, 16
19:17:27,1, 49
19:17:27,0, 9
19:17:27,1, 1
19:17:27,0, 9
19:17:27,0, 1
19:17:27,0, 0
19:17:27,0, 0
19:17:27,0, 16
19:17:27,0, 25
19:17:27,4, 64
19:17:27,9, 121
19:17:27,16, 9
19:17:27,9, 4
19:17:27,0, 36
19:17:27,4, 225
19:17:27,9, 25
19:17:27,4, 16
19:17:27,16, 49
19:17:27,36, 36
19:17:27,16, 400
19:17:27,36, 1024
19:17:27,64, 361
19:17:27,64, 289
19:17:27,16, 529
19:17:27,36, 324
19:17:27,9, 100
19:17:27,0, 289
19:17:27,4, 1156
19:17:27,100, 49
19:17:27,81, 4096
19:17:27,0, 2116
19:17:27,1, 1089
19:17:27,100, 16384
19:17:27,400, 16129
