Timestamp,Sensor1,Sensor2
20:02:18,1
20:02:18,1, 4
20:02:18,0, 0
20:02:18,0, 1
20:02:18,1, 0
20:02:18,1, 0
20:02:18,0, 0
20:02:18,0, 0
20:02:18,0, 0
20:02:18,0, 0
20:02:18,0, 0
20:02:18,0, 8836, 6889
20:02:18,5929, 2601
20:02:18,196, 100
20:02:18,324, 256
20:02:18,121, 9
20:02:18,121, 4
20:02:18,49, 1
20:02:18,361, 1681
20:02:18,36, 4624
20:02:18,400, 841
20:02:18,25, 1024
20:02:18,4, 1296
20:02:18,196, 36
20:02:18,1, 121
20:02:18,289, 400
20:02:18,25, 144
20:02:18,49, 4096
20:02:18,841, 15129
20:02:18,784, 7396
20:02:18,1521, 1936
20:02:18,2601, 121
20:02:18,256, 1936
20:02:18,324, 900
20:02:18,4, 25
20:02:18,361, 961
20:02:18,324, 5184
20:02:18,81, 10201
20:02:18,1, 6241
20:02:18,81, 1764
20:02:18,784, 64
20:02:18,256, 64
20:02:18,1, 121
20:02:18,16, 289
20:02:18,36, 3481
20:02:18,4, 10000
20:02:18,529, 2916
20:02:18,1444, 64
20:02:18,144, 1
20:02:18,100, 49
20:02:18,121, 4
20:02:18,16, 441
20:02:18,121, 9
20:02:18,36, 3600
20:02:18,784, 2304
20:02:18,1369, 144
20:02:18,441, 729
20:02:18,1, 4
20:02:19,144, 3364
20:02:19,256, 1156
20:02:19,289, 64
20:02:19,225, 1521
20:02:19,4, 2401
20:02:19,144, 1225
20:02:19,4, 2304
20:02:19,361, 3969
20:02:19,49, 3025
20:02:19,324, 529
20:02:19,225, 100
20:02:19,256, 324
20:02:19,196, 4
20:02:19,169, 49
20:02:19,81, 676
20:02:19,9, 400
20:02:19,0, 64
20:02:19,36, 1
20:02:19,100, 169
20:02:19,16, 4
20:02:19,64, 36
20:02:19,36, 25
20:02:19,256, 16
20:02:19,121, 64
20:02:19,1, 144
20:02:19,25, 36
20:02:19,49, 4
20:02:19,9, 64
20:02:19,25, 81
20:02:19,64, 0
20:02:19,25, 36
20:02:19,25, 25
20:02:19,64, 81
20:02:19,0, 625
20:02:19,4, 676
20:02:19,36, 64
20:02:19,169, 9
20:02:19,36, 4
20:02:19,25, 225
20:02:19,16, 361
20:02:19,121, 36
20:02:19,36, 121
20:02:19,256, 144
20:02:19,576, 169
20:02:19,225, 576
20:02:19,16, 25
20:02:19,1, 1
20:02:19,25, 81
20:02:19,4, 64
20:02:19,9, 9
20:02:19,121, 25
20:02:19,64, 49
20:02:19,1, 361
20:02:19,16, 1296
20:02:19,81, 1444
20:02:19,25, 441
20:02:19,9, 144
20:02:19,36, 225
20:02:19,49, 64
20:02:19,16, 36
20:02:19,1, 144
20:02:19,16, 4
20:02:19,4, 0
20:02:19,49, 169
20:02:19,4, 121
20:02:19,25, 1
20:02:19,100, 64
20:02:19,196, 256
20:02:19,144, 49
20:02:19,0, 9
20:02:19,49, 441
20:02:19,36, 441
20:02:19,324, 144
20:02:19,64, 484
20:02:19,4, 1
20:02:19,9, 361
20:02:19,4, 1849
20:02:19,4, 1764
20:02:19,1, 441
20:02:19,1, 2601
20:02:19,4, 6561
20:02:19,144, 25
20:02:19,81, 169
20:02:19,49, 1521
20:02:19,25, 841
20:02:19,361, 49
20:02:19,1, 1089
20:02:19,81, 484
20:02:19,25, 49
